code,name,first_date,last_date,bars
sh600005,武钢股份,2015-01-05,2017-01-23,430
sh600000,浦发银行,2015-01-05,2026-09-02,2804
sh600004,白云机场,2015-01-05,2026-09-02,2836
sh600007,中国国贸,2015-01-05,2026-09-02,2836
sh600006,东风股份,2015-01-05,2026-09-02,2784
sh600008,首创环保,2015-01-05,2026-09-02,2820
sh600009,上海机场,2015-01-05,2026-09-02,2825
sh600011,华能国际,2015-01-05,2026-09-02,2836
sh600010,包钢股份,2015-01-05,2026-09-02,2827
sh600029,南方航空,2015-01-05,2026-09-02,2833
sh600023,浙能电力,2015-01-05,2026-09-02,2836
sh600028,中国石化,2015-01-05,2026-09-01,2835
sh600025,华能水电,2017-12-15,2026-09-02,2115
sh600030,中信证券,2015-01-05,2026-09-01,2818
sh600018,上港集团,2015-01-05,2026-09-02,2833
sh600021,上海电力,2015-01-05,2026-09-02,2759
sh600015,华夏银行,2015-01-05,2026-09-01,2835
sh600020,中原高速,2015-01-05,2026-09-02,2836
sh600022,山东钢铁,2015-01-05,2026-09-02,2739
sh600016,民生银行,2015-01-05,2026-09-01,2835
sh600027,华电国际,2015-01-05,2026-09-02,2825
sh600012,皖通高速,2015-01-05,2026-09-01,2825
sh600017,日照港,2015-01-05,2026-09-02,2836
sh600026,中远海能,2015-01-05,2026-09-02,2738
sh600019,宝钢股份,2015-01-05,2026-09-02,2744
sh600032,浙江新能,2021-05-25,2026-09-02,1282
sh600031,三一重工,2015-01-05,2026-09-01,2834
sh600033,福建高速,2015-01-05,2026-09-02,2836
sh600035,楚天高速,2015-03-27,2026-09-02,2698
sh600039,四川路桥,2015-01-05,2026-09-01,2813
sh600038,中直股份,2015-01-05,2026-09-02,2826
sh600048,保利发展,2015-01-05,2026-09-01,2828
sh600037,歌华有线,2015-01-05,2026-09-02,2807
sh600036,招商银行,2015-01-05,2026-09-01,2830
sh600052,东望时代,2015-01-20,2026-09-02,2698
sh600053,*ST九鼎,2015-01-05,2026-09-02,2650
sh600050,中国联通,2015-01-05,2026-09-02,2741
sh600051,宁波联合,2015-01-05,2026-09-02,2765
sh600056,中国医药,2015-01-05,2026-09-02,2821
sh600054,黄山旅游,2015-01-05,2026-09-02,2831
sh600055,万东医疗,2015-01-05,2026-09-02,2808
sh600057,厦门象屿,2015-01-05,2026-09-01,2812
sh600058,五矿发展,2015-01-05,2026-09-02,2756
sh600069,退市银鸽,2015-01-05,2020-08-20,1245
sh600059,古越龙山,2015-01-05,2026-09-02,2836
sh600060,海信视像,2015-01-05,2026-09-02,2833
sh600068,葛洲坝,2015-01-05,2021-09-01,1614
sh600061,国投资本,2015-01-07,2026-09-02,2794
sh600064,南京高科,2015-01-05,2026-09-01,2834
sh600062,华润双鹤,2015-01-05,2026-09-02,2804
sh600063,皖维高新,2015-01-05,2026-09-02,2830
sh600070,*ST富润,2015-01-05,2025-04-10,2394
sh600067,冠城新材,2015-01-05,2026-09-02,2834
sh600066,宇通客车,2015-01-05,2026-09-02,2835
sh600074,退市保千,2015-01-05,2020-05-26,896
sh600071,凤凰光学,2015-01-05,2026-09-02,2712
sh600072,中船科技,2015-01-05,2026-09-02,2729
sh600073,光明肉业,2015-01-05,2026-09-02,2790
sh600075,新疆天业,2015-01-05,2026-09-02,2743
sh600076,康欣新材,2015-05-18,2026-09-02,2663
sh600086,退市金钰,2015-01-05,2021-03-10,1216
sh600077,*ST宋都,2015-01-05,2023-06-13,2050
sh600080,ST金花,2015-01-05,2026-09-02,2808
sh600079,ST人福,2015-01-05,2026-09-02,2811
sh600078,澄星股份,2015-01-05,2026-09-02,2756
sh600081,东风科技,2015-01-05,2026-09-02,2813
sh600083,*ST博信,2015-01-05,2025-01-16,2322
sh600090,退市济堂,2015-04-20,2022-06-30,1687
sh600091,退市明科,2015-01-15,2022-06-15,1683
sh600082,ST海泰,2015-01-05,2026-09-02,2826
sh600085,同仁堂,2015-01-05,2026-09-02,2836
sh600084,*ST尼雅,2015-01-05,2026-09-02,2599
sh600089,特变电工,2015-01-05,2026-09-02,2826
sh600088,中视传媒,2015-01-05,2026-09-02,2836
sh600093,退市易见,2015-01-05,2022-06-16,1725
sh600095,湘财股份,2015-01-05,2026-09-02,2798
