date,open,close,high,low,volume
2005-02-23,1.043,1.037,1.044,1.025,12697425.42
2005-02-24,1.037,1.037,1.037,1.028,4516142.23
2005-02-25,1.038,1.042,1.05,1.036,5064606.95
2005-02-28,1.039,1.032,1.041,1.03,1879651.93
2005-03-01,1.03,1.026,1.034,1.024,2080944.56
2005-03-02,1.026,1.017,1.035,1.015,2492746.43
2005-03-03,1.016,1.017,1.019,1.011,1001532.2
2005-03-04,1.017,1.018,1.024,1.015,1298001.89
2005-03-07,1.018,1.021,1.024,1.018,1167896.45
2005-03-08,1.023,1.035,1.036,1.022,2985053.87
2005-03-09,1.035,1.034,1.039,1.029,2000063.04
2005-03-10,1.032,1.01,1.032,1.009,3338597.48
2005-03-11,1.01,1.012,1.013,1.006,1323445.47
2005-03-14,1.012,1.015,1.023,1.0,2335094.99
2005-03-15,1.013,0.998,1.013,0.997,2829616.31
2005-03-16,0.996,0.987,0.998,0.985,2194449.91
2005-03-17,0.987,0.98,0.991,0.979,1300625.34
2005-03-18,0.98,0.976,0.985,0.972,2277922.57
2005-03-21,0.976,0.976,0.978,0.972,1032730.02
2005-03-22,0.976,0.957,0.977,0.955,1622940.82
2005-03-23,0.955,0.952,0.96,0.947,1452955.1
2005-03-24,0.949,0.954,0.955,0.944,1183880.57
2005-03-25,0.954,0.953,0.958,0.949,1082233.65
2005-03-28,0.951,0.949,0.953,0.944,712663.2
2005-03-29,0.949,0.953,0.96,0.949,1440180.3
2005-03-30,0.952,0.939,0.952,0.936,1926594.45
2005-03-31,0.938,0.94,0.941,0.931,1287382.77
2005-04-01,0.939,0.981,0.987,0.935,5023906.01
2005-04-04,0.964,0.959,0.968,0.952,2329915.58
2005-04-05,0.957,0.953,0.963,0.949,1295870.51
2005-04-06,0.949,0.968,0.977,0.946,2613610.39
2005-04-07,0.968,0.976,0.993,0.965,3634517.93
2005-04-08,0.976,0.99,0.99,0.97,2432582.74
2005-04-11,0.986,0.983,0.996,0.979,1632058.41
2005-04-12,0.983,0.972,0.985,0.971,2114897.93
2005-04-13,0.984,0.994,0.997,0.983,4037055.35
2005-04-14,0.994,0.98,0.996,0.98,2077160.78
2005-04-15,0.979,0.968,0.979,0.967,2803011.12
2005-04-18,0.965,0.957,0.97,0.953,1651911.31
2005-04-19,0.957,0.96,0.961,0.952,814256.78
2005-04-20,0.959,0.944,0.959,0.942,2184902.95
2005-04-21,0.945,0.944,0.952,0.939,2385393.71
2005-04-22,0.946,0.945,0.949,0.941,2467110.82
2005-04-25,0.944,0.935,0.944,0.931,3168918.03
2005-04-26,0.935,0.939,0.942,0.933,2272327.16
2005-04-27,0.942,0.933,0.942,0.932,2235970.26
2005-04-28,0.932,0.944,0.945,0.927,3103258.39
2005-04-29,0.941,0.933,0.945,0.929,2258640.67
2005-05-09,0.947,0.923,0.948,0.922,3347309.97
2005-05-10,0.923,0.927,0.929,0.912,3161237.81
2005-05-11,0.926,0.92,0.928,0.919,2124927.75
2005-05-12,0.918,0.9,0.92,0.899,2692804.31
2005-05-13,0.897,0.902,0.91,0.894,1967271.42
2005-05-16,0.902,0.888,0.902,0.884,1481448.25
2005-05-17,0.888,0.893,0.9,0.883,1184261.7
2005-05-18,0.89,0.894,0.901,0.884,1444553.14
2005-05-19,0.893,0.894,0.899,0.883,1498215.63
2005-05-20,0.893,0.896,0.9,0.89,1476985.07
2005-05-23,0.891,0.88,0.891,0.878,2472999.69
2005-05-24,0.877,0.877,0.881,0.868,2452401.6
2005-05-25,0.876,0.88,0.887,0.873,1555312.16
2005-05-26,0.88,0.871,0.883,0.869,1244115.89
2005-05-27,0.87,0.864,0.875,0.862,1950855.85
2005-05-30,0.861,0.871,0.875,0.855,2206356.64
2005-05-31,0.871,0.874,0.878,0.868,1710550.59
2005-06-01,0.871,0.86,0.875,0.857,1554608.71
2005-06-02,0.857,0.837,0.858,0.833,3607568.8
2005-06-03,0.838,0.835,0.841,0.829,2799639.36
2005-06-06,0.833,0.852,0.854,0.829,4269577.59
2005-06-07,0.85,0.852,0.87,0.848,3543681.28
2005-06-08,0.855,0.925,0.928,0.855,9684174.19
2005-06-09,0.923,0.934,0.947,0.912,7380071.07
2005-06-10,0.932,0.918,0.932,0.912,4580717.41
2005-06-13,0.919,0.916,0.922,0.901,4002313.98
2005-06-14,0.916,0.909,0.925,0.908,2467613.2
2005-06-15,0.906,0.894,0.907,0.891,2203364.45
2005-06-16,0.891,0.907,0.908,0.891,1597232.34
2005-06-17,0.912,0.914,0.926,0.91,2897365.7
2005-06-20,0.929,0.952,0.953,0.92,5724950.08
2005-06-21,0.952,0.94,0.952,0.938,2799399.76
2005-06-22,0.938,0.945,0.946,0.934,2282934.83
2005-06-23,0.942,0.94,0.945,0.936,2715488.58
2005-06-24,0.936,0.94,0.941,0.931,1581394.3
2005-06-27,0.944,0.957,0.959,0.944,3753575.34
2005-06-28,0.952,0.949,0.952,0.941,2532612.54
2005-06-29,0.952,0.936,0.953,0.934,2410229.12
2005-06-30,0.935,0.91,0.935,0.908,2503000.13
2005-07-01,0.909,0.908,0.91,0.902,2699547.77
2005-07-04,0.905,0.901,0.905,0.893,1742102.48
2005-07-05,0.9,0.893,0.9,0.89,1004899.95
2005-07-06,0.893,0.888,0.899,0.887,1845639.99
2005-07-07,0.887,0.888,0.893,0.886,932639.39
2005-07-08,0.886,0.88,0.886,0.873,1558905.27
2005-07-11,0.889,0.877,0.905,0.876,2239093.0
2005-07-12,0.875,0.914,0.916,0.869,4059560.78
2005-07-13,0.909,0.906,0.912,0.9,2407278.9
2005-07-14,0.905,0.909,0.922,0.9,3502049.04
2005-07-15,0.912,0.907,0.916,0.903,1467683.28
2005-07-18,0.902,0.905,0.907,0.9,811560.39
2005-07-19,0.902,0.903,0.91,0.902,1549539.43
2005-07-20,0.905,0.914,0.916,0.903,1846836.8
2005-07-21,0.913,0.918,0.919,0.91,2384385.31
2005-07-22,0.923,0.932,0.941,0.916,4766704.19
2005-07-25,0.929,0.928,0.932,0.926,2302868.65
2005-07-26,0.928,0.942,0.948,0.927,4985370.08
