Date,Open,High,Low,Close
2018-01-01,724.0,724.0,724.0,724.0
2018-01-02,724.0,724.0,724.0,724.0
2018-01-03,724.0,724.0,724.0,724.0
2018-01-04,732.0,734.0,726.0,730.0
2018-01-05,733.0,733.0,723.0,728.0
2018-01-08,728.0,728.0,728.0,728.0
2018-01-09,734.0,740.0,731.0,740.0
2018-01-10,744.0,744.0,734.0,735.0
2018-01-11,737.0,737.0,727.0,731.0
2018-01-12,737.0,737.0,725.0,730.0
2018-01-15,736.0,746.0,726.0,739.0
2018-01-16,738.0,738.0,729.0,731.0
2018-01-17,730.0,734.0,725.0,730.0
2018-01-18,734.0,739.0,730.0,737.0
2018-01-19,735.0,735.0,726.0,728.0
2018-01-22,732.0,737.0,729.0,732.0
2018-01-23,731.0,738.0,730.0,731.0
2018-01-24,734.0,736.0,730.0,735.0
2018-01-25,737.0,740.0,735.0,737.0
2018-01-26,741.0,759.0,741.0,757.0
2018-01-29,768.0,780.0,761.0,776.0
2018-01-30,775.0,776.0,752.0,756.0
2018-01-31,757.0,770.0,750.0,758.0
2018-02-01,768.0,770.0,760.0,766.0
2018-02-02,760.0,770.0,754.0,760.0
2018-02-05,750.0,752.0,728.0,750.0
2018-02-06,720.0,725.0,693.0,699.0
2018-02-07,703.0,705.0,646.0,647.0
2018-02-08,651.0,656.0,639.0,641.0
2018-02-09,623.0,630.0,617.0,630.0
2018-02-12,630.0,630.0,630.0,630.0
2018-02-13,661.0,661.0,630.0,630.0
2018-02-14,630.0,634.0,614.0,621.0
2018-02-15,621.0,630.0,615.0,618.0
2018-02-16,615.0,625.0,615.0,619.0
2018-02-19,627.0,644.0,625.0,636.0
2018-02-20,641.0,642.0,634.0,641.0
2018-02-21,646.0,647.0,637.0,637.0
2018-02-22,640.0,640.0,636.0,637.0
2018-02-23,633.0,643.0,633.0,640.0
2018-02-26,642.0,649.0,636.0,640.0
2018-02-27,639.0,640.0,630.0,636.0
2018-02-28,638.0,660.0,638.0,655.0
2018-03-01,640.0,642.0,626.0,628.0
2018-03-02,626.0,628.0,620.0,621.0
2018-03-05,621.0,621.0,609.0,616.0
2018-03-06,620.0,629.0,617.0,617.0
2018-03-07,617.0,620.0,613.0,618.0
2018-03-08,618.0,620.0,612.0,613.0
2018-03-09,617.0,617.0,610.0,612.0
2018-03-12,616.0,617.0,610.0,610.0
2018-03-13,611.0,612.0,596.0,598.0
2018-03-14,593.0,601.0,585.0,601.0
2018-03-15,599.0,600.0,588.0,590.0
2018-03-16,588.0,590.0,586.0,587.0
2018-03-19,597.0,604.0,581.0,583.0
2018-03-20,583.0,586.0,579.0,580.0
2018-03-21,580.0,580.0,580.0,580.0
2018-03-22,587.0,600.0,585.0,598.0
2018-03-23,596.0,600.0,586.0,593.0
2018-03-26,599.0,599.0,585.0,595.0
2018-03-27,600.0,602.0,592.0,598.0
2018-03-28,586.0,609.0,586.0,601.0
2018-03-29,601.0,603.0,594.0,595.0
2018-03-30,595.0,595.0,586.0,589.0
2018-04-02,594.0,610.0,592.0,608.0
2018-04-03,602.0,602.0,588.0,588.0
2018-04-04,592.0,595.0,588.0,591.0
2018-04-05,592.0,596.0,588.0,588.0
2018-04-06,593.0,599.0,591.0,591.0
2018-04-09,588.0,591.0,574.0,581.0
2018-04-10,580.0,581.0,570.0,574.0
2018-04-11,579.0,579.0,560.0,564.0
2018-04-12,565.0,570.0,558.0,558.0
2018-04-13,560.0,564.0,550.0,553.0
2018-04-16,553.0,553.0,541.0,543.0
2018-04-17,541.0,542.0,527.0,534.0
2018-04-18,531.0,554.0,531.0,548.0
2018-04-19,558.0,593.0,556.0,587.0
2018-04-20,580.0,582.0,556.0,575.0
2018-04-23,575.0,603.0,575.0,601.0
