Date,Open,High,Low,Close
2018-07-20,194.94581032,196.705875037,194.280956879,196.482160839
2018-07-23,197.551317048,198.072418394,196.041920047,196.616928428
2018-07-24,197.129045268,198.270077525,195.493865183,196.383331273
2018-07-25,195.511834195,198.395860608,195.296206052,198.288046537
2018-07-26,199.456032312,201.809972873,198.395860608,199.204466145
2018-07-27,199.734551996,199.90525761,196.54505238,197.344673411
2018-07-30,196.796618547,197.76514829,196.410284791,196.859510089
2018-07-31,197.380611435,197.717530408,196.158718624,196.500129851
2018-08-01,196.446222815,196.849537287,194.290839835,195.080577909
2018-08-02,193.175862645,198.919657306,193.175862645,198.665395787
2018-08-03,198.557581716,200.013071681,198.557581716,199.482985829
2018-08-06,198.943915472,200.597064568,198.567644362,200.102916741
2018-08-07,200.570111051,202.582640386,200.336513896,201.12715042
2018-08-08,200.228699824,202.043570028,199.671660455,201.774034849
2018-08-09,199.114621085,199.77049002,194.883008623,196.077858071
2018-08-10,195.988013011,199.204645835,195.637617279,197.937650804
2018-08-13,198.584535233,199.078683061,196.814587559,197.263812857
2018-08-14,197.668115625,199.959164645,197.533348036,199.456032312
2018-08-15,198.306015549,199.554861877,196.554036886,199.159543615
2018-08-16,200.758785676,201.486530658,199.581815395,200.525188521
2018-08-17,199.752521008,202.942020624,199.590799901,202.762330505
2018-08-20,203.049834696,205.044395019,203.022881178,204.262743
2018-08-21,206.185427276,206.733482139,204.577200709,205.331899209
2018-08-22,205.277992174,206.850280717,205.18985417,205.933861109
2018-08-23,205.745186484,206.958094788,205.358852727,206.203396287
2018-08-24,206.64363708,208.494445307,206.284256841,207.793653842
2018-08-27,209.105391713,209.213205784,204.936580947,206.670590597
2018-08-28,207.48818064,208.28780167,206.499884984,206.877234234
2018-08-29,208.251863646,208.440538272,205.50664785,206.814342693
2018-08-30,206.814333791,208.20138228,206.652211241,207.904157604
2018-08-31,207.345735485,210.326989056,207.345735485,209.975723529
2018-09-04,209.984730338,211.578935419,209.984730338,211.371778827
2018-09-05,211.272703935,212.713793274,210.038771188,212.209412005
2018-09-06,212.083316688,213.254201776,211.714037545,213.173140501
2018-09-07,213.740569428,218.820409349,213.641494536,217.478394902
2018-09-10,218.865443391,219.58977092,218.06834085,219.027565941
2018-09-11,219.703076569,220.810913998,219.018559133,219.955267203
2018-09-12,220.666805065,220.774886765,218.171919146,218.361062122
2018-09-13,218.415102972,219.757117419,217.109115758,217.307265542
2018-09-14,215.262720043,215.262720043,211.182635851,212.002255413
2018-09-17,210.813356708,211.286214147,208.516620573,208.957954184
2018-09-18,208.939940567,212.083316688,208.687749932,211.07455415
2018-09-19,211.317737976,211.425819677,209.337771292,210.624213732
2018-09-20,211.29972436,211.656393971,209.246172051,210.687261391
2018-09-21,211.092567767,212.416568598,210.768322666,211.443833294
2018-09-24,210.930445217,211.524894569,209.768566937,210.164866505
2018-09-25,210.786336283,211.35376521,209.615451195,209.795587362
2018-09-26,210.372023098,212.254446047,210.263941397,210.588186498
2018-09-27,210.489111606,212.263452855,209.264185668,210.759315858
2018-09-28,210.63322054,212.083316688,210.570172882,211.551914994
2018-10-01,212.389548172,213.038038375,211.146608617,211.344758402
2018-10-02,210.849383941,213.974746446,210.642227349,212.875915824
2018-10-03,213.11909965,213.740569428,209.615451195,210.038771188
2018-10-04,210.092812038,210.759315858,207.751041862,208.669736316
2018-10-05,202.653188325,204.508590849,196.15927949,197.086980752
2018-10-08,197.555334787,202.202757838,197.48048821,201.689459829
2018-10-09,201.887609613,202.78829045,200.455527082,201.90562323
2018-10-10,201.842575571,202.653188325,199.08649221,199.095499018
2018-10-11,200.770765375,202.941406192,198.987417318,199.789023263
2018-10-12,202.833324492,205.012972117,201.203092177,204.409515957
2018-10-15,203.779039371,204.400509148,201.977677697,202.211854714
2018-10-16,202.536099816,205.589407853,202.037122632,205.067012968
2018-10-17,205.760537212,206.147829972,203.112535551,205.796564446
2018-10-18,205.841598487,207.742035054,203.779039371,205.877625721
2018-10-19,206.165843589,207.724021437,206.003721038,206.859367833
2018-10-22,207.048510809,207.381762719,204.697733824,206.309952523
2018-10-23,204.517597657,206.49008869,201.590384937,206.030741463
2018-10-24,203.490821503,208.138334622,200.932887926,201.536344087
2018-10-25,201.806548338,204.985951692,200.707717717,203.914141496
