Date,Open,High,Low,Close
2018-07-20,14.473629583,14.52501525,14.442455611,14.507886694
2018-07-23,14.559272362,14.619222307,14.507886694,14.559272362
2018-07-24,14.602093751,14.721993641,14.602093751,14.636350862
2018-07-25,14.713429363,14.833329253,14.670607974,14.833329253
2018-07-26,14.799072142,14.859022087,14.790507864,14.833329253
2018-07-27,14.841893531,14.876150642,14.747686474,14.773379308
2018-07-30,14.867586364,14.910407754,14.859022087,14.859022087
2018-07-31,14.850457809,14.867586364,14.773379308,14.773379308
2018-08-01,14.610658029,14.679172252,14.533579528,14.559272362
2018-08-02,14.516450972,14.704865085,14.499322416,14.64491514
2018-08-03,14.679172252,14.739122197,14.636350862,14.696300807
2018-08-06,14.747686474,14.824764975,14.713429363,14.721993641
2018-08-07,14.859022087,14.88471492,14.807636419,14.833329253
2018-08-08,14.816200697,14.833329253,14.593529473,14.653479418
2018-08-09,14.696300807,14.721993641,14.584965195,14.593529473
2018-08-10,14.593529473,14.711031365,14.576400917,14.593529473
2018-08-13,14.533579528,14.5635545,14.345165415,14.516450972
2018-08-14,14.619222307,14.653479418,14.503604555,14.542143806
2018-08-15,14.379422526,14.387986804,14.182444136,14.225265525
2018-08-16,14.28521547,14.362293971,14.28521547,14.336601137
2018-08-17,14.447936749,14.465065305,14.32375472,14.396551082
2018-08-20,14.387986804,14.447936749,14.364948897,14.422243916
2018-08-21,14.490758139,14.515337616,14.4242137,14.447936749
2018-08-22,14.576400917,14.687736529,14.533579528,14.653479418
2018-08-23,14.584965195,14.649197279,14.559272362,14.627786584
2018-08-24,14.790507864,14.84617567,14.704865085,14.739122197
2018-08-27,14.76481503,14.799072142,14.747686474,14.790507864
2018-08-28,14.824764975,14.837611392,14.713429363,14.730557919
2018-08-29,14.807636419,14.906211258,14.760532891,14.893279198
2018-08-30,14.918972032,14.927536309,14.840180675,14.867586364
2018-08-31,14.927536309,14.961793421,14.867586364,14.88471492
2018-09-04,14.901843476,14.927536309,14.773379308,14.799072142
2018-09-05,14.807636419,14.833329253,14.725419352,14.739122197
2018-09-06,14.756250752,14.790507864,14.542143806,14.653479418
2018-09-07,14.593529473,14.692018668,14.576400917,14.687736529
2018-09-10,14.76481503,14.803354281,14.692018668,14.739122197
2018-09-11,14.730557919,14.88471492,14.709147224,14.88471492
2018-09-12,14.918972032,15.021743366,14.906125615,14.987486255
2018-09-13,14.944664865,14.957511282,14.773379308,14.824764975
2018-09-14,14.76481503,14.850457809,14.687736529,14.730557919
2018-09-17,14.807636419,14.841893531,14.705721513,14.713429363
2018-09-18,14.859022087,14.918972032,14.794790003,14.850457809
2018-09-19,14.850457809,14.961793421,14.841893531,14.944664865
2018-09-20,14.978921977,14.996050532,14.901843476,14.944664865
2018-09-21,15.013179088,15.106957931,14.918972032,14.978921977
2018-09-24,15.133078978,15.214268332,15.115950422,15.201593201
2018-09-25,15.24441459,15.28723598,15.218721757,15.235850312
2018-09-26,15.201593201,15.261543146,15.16733609,15.16733609
2018-09-27,15.218721757,15.235850312,15.158771812,15.235850312
2018-09-28,15.278671702,15.437110842,15.270107424,15.390007314
2018-10-01,15.40713587,15.728296289,15.390007314,15.681192761
2018-10-02,15.741142706,15.783964095,15.715449873,15.732578428
2018-10-03,15.758271262,15.968096069,15.689757039,15.878171152
2018-10-04,15.895299708,15.895299708,15.638371372,15.706885595
2018-10-05,15.706885595,15.749706984,15.64693565,15.672628483
2018-10-08,15.552728593,15.655499928,15.544164315,15.629807094
2018-10-09,15.689757039,15.775399818,15.612678538,15.741142706
2018-10-10,15.698321317,15.706885595,15.432828703,15.432828703
2018-10-11,15.338621647,15.381443036,15.18583493,15.201593201
2018-10-12,15.330057369,15.355750202,15.171618228,15.321493091
2018-10-15,15.338621647,15.385725175,15.261543146,15.355750202
2018-10-16,15.338621647,15.467085815,15.312928813,15.424264425
2018-10-17,15.390007314,15.390007314,15.201593201,15.28723598
2018-10-18,15.1245147,15.210157479,15.090257589,15.115950422
2018-10-19,15.210157479,15.282953841,15.16733609,15.201593201
2018-10-22,15.150207534,15.224459823,15.107386145,15.218721757
2018-10-23,15.021743366,15.0474362,14.833329253,14.88471492
2018-10-24,14.953229143,14.987486255,14.781943586,14.781943586
2018-10-25,14.833329253,14.893279198,14.807636419,14.841893531
2018-10-26,14.76481503,14.978921977,14.747686474,14.953229143
2018-10-29,14.893279198,14.936100587,14.781943586,14.799072142
2018-10-30,14.662043696,14.803354281,14.662043696,14.721993641
2018-10-31,14.662043696,14.739122197,14.52501525,14.52501525
2018-11-01,14.593529473,14.636350862,14.384218522,14.422243916
2018-11-02,14.422243916,14.490758139,14.354586121,14.387986804
2018-11-05,14.465065305,14.52501525,14.362293971,14.379422526
2018-11-06,14.413679638,14.430808194,14.225265525,14.319472581
2018-11-07,14.396551082,14.413679638,14.250958359,14.28521547
2018-11-08,14.276651192,14.302344026,14.156751302,14.199572691
2018-11-09,14.036851412,14.131058469,13.985551388,14.04541569
2018-11-12,14.131058469,14.195290552,13.981183606,14.011158578
2018-11-13,13.951208633,13.978785608,13.574380408,13.625766075
2018-11-14,13.788487354,13.851520439,13.719973131,13.745665965
2018-11-15,13.848437299,13.848437299,13.694280298,13.719973131
2018-11-16,13.865565855,13.916951522,13.719973131,13.80561591
2018-11-19,13.728537409,13.831308743,13.654713334,13.80561591
2018-11-20,13.651458908,13.68571602,13.334580628,13.385966295
2018-11-21,13.488737629,13.634330353,13.454480518,13.497301907
2018-11-23,13.129037959,13.154730792,13.034830902,13.103345125
2018-11-26,13.146166515,13.223245015,13.129037959,13.16329507
2018-11-27,13.120473681,13.184705765,12.970598818,13.111909403
2018-11-28,13.111909403,13.231809293,13.04339518,13.069088014
2018-11-29,13.120473681,13.231809293,13.096750631,13.154730792
2018-11-30,13.026266625,13.197552182,12.974880957,13.094780847
2018-12-03,13.420223406,13.445830597,13.308887794,13.394530573
2018-12-04,13.463044795,13.531559018,13.394530573,13.40309485
2018-12-06,13.231809293,13.317452072,13.103345125,13.291759238
2018-12-07,13.531559018,13.651458908,13.429044612,13.44591624
2018-12-10,13.32601635,13.40309485,13.20611646,13.231809293
2018-12-11,13.377402017,13.40309485,13.278912821,13.308887794
2018-12-12,13.368837739,13.420223406,13.253219988,13.266066405
2018-12-13,13.240373571,13.463044795,13.214680737,13.437351962
2018-12-14,13.343144905,13.343144905,13.214680737,13.231809293
2018-12-17,13.28319496,13.300323516,13.069088014,13.077652292
2018-12-18,13.077652292,13.08621657,12.760774011,12.8035954
2018-12-19,12.863545345,13.00485593,12.8035954,12.854981067
2018-12-20,12.829288234,12.880673901,12.717952622,12.735081177
2018-12-21,12.640874121,12.709388344,12.574929181,12.623745565
2018-12-24,12.426767174,12.469588564,12.32399584,12.32399584
2018-12-26,12.306867284,12.615181287,12.298303006,12.598052732
2018-12-27,12.452460008,12.486717119,12.349688674,12.478152842
2018-12-28,12.409638619,12.438585878,12.32399584,12.375381507
2018-12-31,12.418202897,12.435331452,12.281174451,12.409638619
2019-01-02,12.264045895,12.632309843,12.259763756,12.44389573
2019-01-03,12.538102787,12.572359898,12.375381507,12.546667064
2019-01-04,12.68369551,12.812159678,12.649438399,12.717952622
2019-01-07,12.812159678,12.92349529,12.786552487,12.812159678
2019-01-08,12.897802457,12.955183118,12.854981067,12.940623846
2019-01-09,13.060523736,13.223245015,13.034830902,13.197552182
2019-01-10,13.137602237,13.20611646,13.094780847,13.16329507
2019-01-11,13.137602237,13.197552182,13.077652292,13.120473681
2019-01-14,13.077652292,13.146166515,13.000573791,13.009138069
2019-01-15,13.094780847,13.146166515,13.049818389,13.111909403
2019-01-16,13.146166515,13.188987904,13.077652292,13.180423626
2019-01-17,13.103345125,13.223245015,13.051959458,13.188987904
2019-01-18,13.240373571,13.357447249,13.188987904,13.32601635
2019-01-22,13.231809293,13.24465571,13.133320098,13.231809293
2019-01-23,13.266066405,13.28319496,13.141884376,13.214680737
2019-01-24,13.188987904,13.274630683,13.176141487,13.248937849
2019-01-25,13.248937849,13.343144905,13.223245015,13.317452072
2019-01-28,13.154730792,13.16329507,13.08621657,13.137602237
2019-01-29,13.214680737,13.308887794,13.214680737,13.266066405
2019-01-30,13.334580628,13.417225909,13.317452072,13.360273461
2019-01-31,13.428787684,13.471609073,13.248937849,13.291759238
2019-02-01,13.317452072,13.44591624,13.317452072,13.411659128
2019-02-04,13.300323516,13.420223406,13.233179578,13.420223406
2019-02-05,13.343144905,13.423477832,13.330298489,13.360273461
2019-02-06,13.317452072,13.411659128,13.291759238,13.377402017
2019-02-07,13.351709183,13.351709183,13.147451156,13.248937849
2019-02-08,13.28319496,13.291759238,13.180423626,13.266066405
2019-02-11,13.16329507,13.214680737,13.111909403,13.188987904
2019-02-12,13.317452072,13.334580628,13.248937849,13.266066405
2019-02-13,13.317452072,13.374490162,13.300323516,13.343144905
2019-02-14,13.32601635,13.394530573,13.291759238,13.377402017
2019-02-15,13.505866185,13.634330353,13.480173351,13.625766075
2019-02-19,13.608637519,13.672869603,13.591508963,13.660023186
2019-02-20,13.634330353,13.771358798,13.623881934,13.702844576
2019-02-21,13.745665965,13.762794521,13.719973131,13.745665965
2019-02-22,13.822744466,13.831308743,13.762794521,13.779923076
