Date,Open,High,Low,Close
2024-12-05,13.207,14.638,11.3,12.724
2024-12-06,12.7,14.462,11.5,13.848
2024-12-07,13.848,15.314,13.55,14.246
2024-12-08,14.23,14.702,13.516,14.051
2024-12-09,14.056,14.463,12.064,13.598
2024-12-10,13.567,14.5,12.627,13.573
2024-12-11,13.56,16.598,13.06,16.144
2024-12-12,16.17,18.9,15.62,18.079
2024-12-13,18.08,19.74,16.972,19.509
2024-12-14,19.51,24.619,19.05,24.213
2024-12-15,24.212,25.469,21.1,23.955
2024-12-16,23.967,28.698,23.05,27.32
2024-12-17,27.329,29.0,23.643,25.579
2024-12-18,25.584,27.55,22.716,23.251
2024-12-19,23.267,27.23,22.1,24.96
2024-12-20,24.952,31.97,22.949,29.81
2024-12-21,29.815,35.35,29.0,32.09
2024-12-22,32.088,35.15,27.385,28.554
2024-12-23,28.56,29.939,25.27,28.632
2024-12-24,28.634,31.626,27.465,29.857
2024-12-25,29.859,30.56,26.242,26.629
2024-12-26,26.635,27.238,23.867,27.218
2024-12-27,27.22,28.93,25.734,27.119
2024-12-28,27.118,29.35,25.886,29.291
2024-12-29,29.292,29.499,26.647,27.49
2024-12-30,27.509,29.333,26.51,26.99
2024-12-31,26.991,27.167,22.958,24.062
2025-01-01,24.063,26.549,23.328,26.318
2025-01-02,26.318,26.823,22.49,23.198
2025-01-03,23.198,24.811,21.571,24.49
2025-01-04,24.479,25.5,23.163,25.058
2025-01-05,25.042,25.789,24.155,24.43
2025-01-06,24.43,26.2,24.07,25.24
2025-01-07,25.232,26.301,22.76,23.502
2025-01-08,23.502,23.954,20.15,22.501
2025-01-09,22.518,23.926,18.889,20.304
2025-01-10,20.299,22.198,19.751,20.665
2025-01-11,20.665,21.3,19.6,20.892
2025-01-12,20.883,21.989,20.01,21.155
2025-01-13,21.156,23.346,18.81,21.66
2025-01-14,21.66,23.55,21.251,22.988
2025-01-15,22.987,24.434,22.116,24.37
2025-01-16,24.37,24.38,23.073,23.507
2025-01-17,23.504,24.128,22.9,23.133
2025-01-18,23.137,23.179,19.2,22.016
2025-01-19,22.032,23.782,19.293,20.432
2025-01-20,20.428,22.848,19.11,20.575
2025-01-21,20.575,25.174,20.03,23.178
2025-01-22,23.183,27.053,23.0,24.325
2025-01-23,24.33,25.364,21.5,21.978
2025-01-24,21.969,25.008,21.146,23.113
2025-01-25,23.112,23.942,21.748,23.198
2025-01-26,23.2,24.9,22.134,22.143
2025-01-27,22.135,23.724,20.2,23.402
2025-01-28,23.401,24.47,21.55,22.291
2025-01-29,22.291,24.4,21.959,23.759
2025-01-30,23.744,27.992,23.354,27.211
2025-01-31,27.211,28.334,25.7,26.916
2025-02-01,26.927,27.784,22.595,23.181
2025-02-02,23.181,24.389,20.604,22.361
2025-02-03,22.361,26.0,19.937,25.185
2025-02-04,25.187,26.8,23.754,25.141
2025-02-05,25.143,27.433,24.2,24.76
2025-02-06,24.766,26.242,23.546,23.884
2025-02-07,23.882,25.209,22.111,22.876
2025-02-08,22.87,23.875,22.229,23.434
2025-02-09,23.423,24.059,22.1,22.979
2025-02-10,22.98,24.25,22.221,23.344
2025-02-11,23.337,24.9,22.9,23.497
2025-02-12,23.496,25.848,22.5,25.839
2025-02-13,25.834,26.32,24.6,26.301
2025-02-14,26.301,28.524,25.752,26.2
2025-02-15,26.222,26.913,25.304,25.744
2025-02-16,25.731,26.964,25.555,26.814
2025-02-17,26.801,27.0,24.853,25.405
2025-02-18,25.406,27.768,22.309,24.107
2025-02-19,24.105,24.568,22.502,24.069
2025-02-20,24.069,25.224,23.96,24.479
2025-02-21,24.479,26.0,23.677,25.058
2025-02-22,25.047,25.188,24.22,24.741
2025-02-23,24.789,24.813,22.8,23.164
2025-02-24,23.179,23.5,19.835,19.902
2025-02-25,19.902,20.846,17.036,20.219
2025-02-26,20.219,21.479,18.45,19.578
2025-02-27,19.58,21.23,19.569,20.915
2025-02-28,20.915,20.923,18.5,19.939
2025-03-01,19.946,20.501,18.83,19.599
2025-03-02,19.598,21.034,18.23,20.531
2025-03-03,20.538,21.099,17.437,17.901
2025-03-04,17.897,18.126,15.361,17.1
2025-03-05,17.09,17.921,16.321,17.187
2025-03-06,17.187,17.583,14.997,15.387
2025-03-07,15.389,16.464,14.612,15.128
2025-03-08,15.133,16.089,15.023,15.122
2025-03-09,15.122,15.582,14.234,14.435
2025-03-10,14.441,15.384,13.25,13.465
2025-03-11,13.473,14.755,13.0,13.795
2025-03-12,13.781,14.244,12.412,13.178
2025-03-13,13.178,13.7,12.096,12.33
2025-03-14,12.335,14.524,12.293,13.798
2025-03-15,13.79,14.816,13.761,14.383
2025-03-16,14.39,14.418,12.805,12.976
2025-03-17,12.976,14.057,12.955,13.255
2025-03-18,13.259,14.34,12.879,14.179
2025-03-19,14.171,15.787,13.791,15.61
2025-03-20,15.617,15.799,13.939,14.145
2025-03-21,14.144,15.924,13.871,15.913
2025-03-22,15.914,16.726,15.418,15.572
2025-03-23,15.575,16.329,15.45,16.309
2025-03-24,16.308,17.35,15.718,16.764
2025-03-25,16.764,17.005,15.865,16.028
2025-03-26,16.026,16.403,12.492,14.065
2025-03-27,14.066,15.156,13.981,14.614
2025-03-28,14.612,14.914,13.01,13.416
2025-03-29,13.415,13.6,12.358,12.807
2025-03-30,12.807,13.014,12.198,12.486
2025-03-31,12.487,13.48,12.198,13.006
2025-04-01,13.006,13.969,12.954,13.327
2025-04-02,13.327,14.461,11.68,11.772
2025-04-03,11.771,12.622,11.041,11.707
2025-04-04,11.708,12.4,11.057,11.886
2025-04-05,11.889,12.198,11.42,12.046
2025-04-06,12.047,12.092,10.001,10.261
2025-04-07,10.26,11.932,9.3061,11.494
2025-04-08,11.493,12.703,10.7,11.22
2025-04-09,11.221,14.419,11.078,13.57
2025-04-10,13.57,14.5,13.1,14.16
2025-04-11,14.157,16.009,13.744,15.673
2025-04-12,15.671,16.778,15.12,16.352
2025-04-13,16.347,16.832,14.977,15.404
2025-04-14,15.405,16.359,15.3,15.733
2025-04-15,15.734,16.596,14.971,15.025
2025-04-16,15.027,16.248,14.64,15.737
2025-04-17,15.737,17.226,15.483,17.149
2025-04-18,17.148,17.44,16.315,17.056
2025-04-19,17.056,18.242,16.69,18.088
2025-04-20,17.641,17.847,17.098,17.598
2025-04-21,17.597,18.456,17.214,18.198
2025-04-22,18.198,19.285,17.83,19.205
2025-04-23,19.205,19.236,18.0,18.447
2025-04-24,18.449,19.072,17.698,18.776
2025-04-25,18.776,19.191,18.15,18.407
2025-04-26,18.407,18.461,17.475,17.916
2025-04-27,17.916,18.25,17.322,17.383
2025-04-28,17.384,18.744,16.75,18.682
2025-04-29,18.683,19.2,18.15,18.613
2025-04-30,18.608,20.17,17.604,20.028
2025-05-01,20.028,21.176,19.223,19.937
2025-05-02,19.933,21.437,19.883,20.812
2025-05-03,20.813,21.539,19.951,20.948
2025-05-04,20.944,21.224,19.7,19.894
2025-05-05,19.893,20.757,19.791,20.293
2025-05-06,20.292,21.145,19.538,20.951
2025-05-07,20.957,21.439,20.662,21.042
2025-05-08,21.044,23.571,20.798,23.331
2025-05-09,23.332,25.75,22.913,24.734
2025-05-10,24.734,26.337,24.318,26.262
2025-05-11,26.262,26.549,23.65,24.887
