Date,Open,High,Low,Close
2018-07-20,247.72270012,248.355834706,247.494068186,247.643558297
2018-07-23,247.450100507,248.329454098,247.081651352,248.100822164
2018-07-24,249.490200838,250.202477247,248.509721584,249.340710728
2018-07-25,249.164840009,251.82928139,249.094491722,251.653410672
2018-07-26,250.774057081,251.587459153,250.686121722,250.782850617
2018-07-27,251.231320948,251.319256307,248.294279954,249.173633545
2018-07-30,249.27036244,249.428646087,247.370958684,247.775461336
2018-07-31,248.707576142,249.727626308,248.285486418,249.103285258
2018-08-01,249.261568904,249.824355203,248.074441557,248.751543822
2018-08-02,247.406132827,250.228857854,247.203881501,249.938671169
2018-08-03,250.202477247,251.187353269,250.017812993,251.09941791
2018-08-06,251.09941791,252.365687081,250.791644153,252.06670686
2018-08-07,252.752602661,253.271421279,252.594319014,252.787776804
2018-08-08,252.735015589,253.201072992,252.348100009,252.699841445
2018-08-09,252.822950948,253.245040672,252.321719401,252.471209512
2018-08-10,250.993895479,251.530301169,250.052987136,250.677328186
2018-08-13,251.029069622,251.643737782,249.534168518,249.833148739
2018-08-14,250.554218683,251.639253079,250.176096639,251.433572274
2018-08-15,250.061780672,250.149716031,248.1096157,249.428646087
2018-08-16,250.941134263,252.436035368,250.941134263,251.583062385
2018-08-17,251.380811059,252.893738912,250.967514871,252.40965476
2018-08-20,252.902092771,253.262627743,252.439904524,253.025202274
2018-08-21,253.526433821,254.450634445,253.369908882,253.456085533
2018-08-22,253.174692384,253.948523544,252.902092771,253.447291998
2018-08-23,253.2274536,254.106807191,252.787776804,253.016408738
2018-08-24,253.675923931,254.766322384,253.621052267,254.590451666
2018-08-27,255.803959621,256.744867964,255.654469511,256.604171389
2018-08-28,257.114196472,257.202131831,256.305191168,256.674519676
2018-08-29,256.991086969,258.380465643,256.736074428,258.125453102
2018-08-30,257.650602163,258.055104814,256.507442494,257.026261113
2018-08-31,256.70969382,257.562666803,256.217255809,257.158164152
2018-09-04,256.718487356,257.026261113,255.680850119,256.727280892
2018-09-05,256.331571776,256.507442494,254.96857371,256.032591555
2018-09-06,256.058972163,256.393126527,254.177155478,255.285141003
2018-09-07,254.133187799,255.689643655,253.930936473,254.660799953
2018-09-10,255.733611334,255.988623876,254.959780174,255.232379787
2018-09-11,254.484929235,256.437094207,254.159568406,256.085352771
2018-09-12,256.006210947,256.648139069,255.276347467,256.102939842
2018-09-13,257.114196472,257.756124593,256.850390395,257.580253875
2018-09-14,257.791298737,257.967169455,256.859183931,257.571460339
2018-09-17,257.571460339,257.597840947,255.999088183,256.278810561
2018-09-18,256.472268351,258.25735614,256.472268351,257.712156914
2018-09-19,257.67698277,258.354085035,257.606634483,257.896821168
2018-09-20,259.180677411,260.350217687,259.083948516,260.077618074
2018-09-21,260.789894482,260.895416913,259.637941278,259.725876637
2018-09-24,259.22464509,259.356460194,258.354085035,258.943251941
2018-09-25,259.382928737,259.470864096,258.459607466,258.670652328
2018-09-26,258.809631006,260.01668507,257.520175433,257.908778482
2018-09-27,258.394532294,259.719315418,257.83282425,258.615329482
2018-09-28,258.02359302,259.162906506,257.979433582,258.535842494
2018-10-01,259.92244883,260.626085307,258.915613656,259.542677668
2018-10-02,259.419031243,260.127701895,259.056923856,259.436695018
2018-10-03,260.470025855,260.893956454,259.224729718,259.613332768
2018-10-04,259.120425127,259.145242731,255.965763235,257.661485633
2018-10-05,257.77630017,258.279717757,254.676307661,256.062913997
2018-10-08,255.391690548,256.442685159,254.005084212,256.071745885
2018-10-09,255.727302272,257.016757846,255.179725248,255.762629822
2018-10-10,255.188557136,255.232716573,247.239858395,247.513646907
2018-10-11,246.612794383,248.149542806,240.580615227,242.285169513
2018-10-12,246.259518883,246.533307395,242.338160838,245.552967884
2018-10-15,245.164364834,246.492239119,244.086874561,244.22818476
2018-10-16,246.100544908,249.907088417,245.641286759,249.606804242
2018-10-17,249.544981029,250.141133435,246.966069882,249.553812917
2018-10-18,248.594934892,249.173511842,244.660947247,245.976898483
2018-10-19,246.639290045,248.501935117,245.164364834,245.764933184
2018-10-22,246.462652295,246.771768358,244.148697773,244.837584997
2018-10-23,241.075200927,244.54613271,238.999707366,243.380323561
2018-10-24,243.221349587,243.574625086,235.493448033,235.935042407
2018-10-25,237.904553318,241.843575138,236.871222481,240.245003502
2018-10-26,236.579770194,239.106661524,233.373795035,235.899714857
2018-10-29,239.202840779,240.448136915,231.262973925,234.583763621
2018-10-30,234.610259284,238.566944879,234.115673584,238.337315805
2018-10-31,240.925058839,243.088871274,240.386313702,240.898563177
2018-11-01,241.693433051,243.548129424,240.58741578,243.247845249
2018-11-02,244.422486285,244.86408066,239.882896115,241.896566463
2018-11-05,242.5059667,243.795422273,241.454972089,243.380323561
2018-11-06,243.230181474,244.943567647,243.150694487,244.784593672
2018-11-07,246.963685273,250.145549379,246.568634945,250.057230504
2018-11-08,249.324183842,250.233868254,248.485154531,249.518485367
2018-11-09,248.308516781,248.476322643,245.747269409,247.25752217
2018-11-12,246.630458158,246.857879261,242.002637432,242.444143487
2018-11-13,242.974056737,244.97006331,241.343337031,242.090867988
2018-11-14,243.936732473,244.33416741,238.840733392,240.412809365
2018-11-15,239.176345116,243.377409039,237.538913176,242.841578425
2018-11-16,241.843575138,244.40482251,241.366653214,243.530465649
2018-11-19,242.974056737,243.203685812,238.531617329,239.458965516
2018-11-20,236.085272814,237.541562742,234.124505472,235.016526108
2018-11-21,236.517946982,237.657260468,235.776068433,235.776068433
2018-11-23,234.133337359,235.595014739,234.062682259,234.318806997
2018-11-26,236.480941373,238.045863517,236.085184495,237.992872193
2018-11-27,237.092019669,238.770078292,236.358973007,238.743582629
2018-11-28,239.886517189,244.316503635,238.920220379,244.316503635
2018-11-29,243.565793199,245.198809196,242.426479713,243.821917936
2018-11-30,243.636448299,245.862083946,243.318500349,245.526472222
2018-12-03,249.43899838,249.571476692,246.930742332,248.502818306
2018-12-04,247.725612207,248.114215256,240.174348403,240.695429764
2018-12-06,236.623929632,240.200844065,233.479777685,240.068365753
2018-12-07,239.741585916,241.34810625,233.682911097,234.574931734
2018-12-10,234.345302659,235.917290314,230.076674797,234.928207234
2018-12-11,238.118020038,238.301988255,233.523937123,234.972366671
2018-12-12,238.00170408,239.28833345,236.120512045,236.24415847
2018-12-13,237.083187781,237.984040305,234.990030446,236.023361282
2018-12-14,233.95669961,234.901711571,231.17465505,231.748727737
2018-12-17,230.880320309,231.883838894,225.516380257,227.034979179
2018-12-18,228.82887966,229.43276695,225.314522049,227.008337092
2018-12-19,226.981695006,230.743557599,221.777607472,223.562627258
2018-12-20,222.212850356,223.740241167,217.559277134,219.735047519
2018-12-21,220.729685409,223.269564308,214.664259224,215.22365423
2018-12-24,213.847146436,214.91282989,209.619935401,209.664338879
2018-12-26,211.120772932,220.14355951,209.104855065,219.94818421
2018-12-27,216.982031929,222.079551118,213.731697395,222.070670422
2018-12-28,223.219786043,224.864834858,220.476555991,221.708119564
2018-12-31,223.228678199,223.753315388,221.405786268,223.735531077
2019-01-02,220.116423683,224.704776055,220.009806735,223.83334479
2019-01-03,222.117158729,222.328792036,217.928953366,218.240178817
2019-01-04,221.468031358,226.385393493,221.094560816,225.914109238
2019-01-07,226.074168042,228.937442196,225.158275998,227.434667873
2019-01-08,229.755520526,230.14677538,227.212363979,229.675491125
2019-01-09,230.386863585,231.622873236,229.168638246,230.742549816
2019-01-10,229.257559804,231.818500663,228.599540278,231.649549703
2019-01-11,230.520245922,231.658441859,229.924471486,231.525059523
2019-01-14,229.773304838,231.0270988,229.373157829,230.404647897
2019-01-15,230.635843947,233.152324027,230.635843947,232.89445151
2019-01-16,233.29468744,234.325377215,233.116755404,233.508010257
2019-01-17,232.636578993,236.051166804,232.547657435,235.224196319
2019-01-18,237.029303938,238.816627246,236.264578543,238.372019458
2019-01-22,236.860352979,237.055980405,233.54357888,235.197519852
2019-01-23,236.193441297,236.833676511,233.205676961,235.53542177
2019-01-24,235.455392369,236.326823633,234.459470923,235.76661782
2019-01-25,237.589509751,238.549862573,237.162686274,237.86516658
2019-01-28,235.64212764,236.006706026,234.174921939,235.953353091
2019-01-29,236.06005896,236.615107323,234.819603232,235.624343328
2019-01-30,237.127117651,240.194911389,236.397960879,239.403509526
2019-01-31,239.305695813,241.893313139,239.125985345,241.466489662
2019-02-01,241.688793556,242.613577755,240.826254448,241.599871999
2019-02-04,241.662117089,243.351626683,240.959636784,243.333842372
2019-02-05,243.751773693,244.605420646,243.236028659,244.374224596
2019-02-06,244.036322677,244.516499088,243.262705126,244.00964621
2019-02-07,242.382381706,242.915911051,240.025960429,241.715470024
2019-02-08,240.399430971,242.000019008,239.616921264,241.982234696
2019-02-11,242.613577755,242.889234584,241.599871999,242.115617033
2019-02-12,243.698420758,245.601342091,243.645067824,245.263440172
2019-02-13,246.06373419,246.864028209,245.64580287,246.010381256
2019-02-14,244.925538253,246.58837138,244.125244235,245.450175443
2019-02-15,247.210822283,248.233420196,247.041871324,248.233420196
2019-02-19,247.388665398,249.242679874,247.361988931,248.58021427
2019-02-20,248.58021427,249.540567092,248.082253548,249.060390681
2019-02-21,248.491292713,248.793626009,247.237498751,248.277880974
2019-02-22,248.855871099,249.940714102,248.571322115,249.709518052
2019-02-25,251.167831596,251.700471726,250.002959192,250.100772905
2019-02-26,249.700625896,250.776576743,249.566087579,249.914037634
2019-02-27,249.229341641,250.145233684,248.268988819,249.789547454
2019-02-28,249.56724356,250.029635659,249.033714214,249.264910264
2019-03-01,250.936635547,251.310106089,249.478322002,251.03444926
2019-03-04,251.976928849,252.154860886,247.690998694,250.011851348
2019-03-05,250.118557217,250.305292488,249.105029303,249.69173374
2019-03-06,249.753978831,249.762870986,247.806596719,248.100037859
2019-03-07,247.673214383,247.788812408,245.192302926,246.099302813
2019-03-08,244.160812858,245.716940116,243.733989381,245.601342091
2019-03-11,246.277145928,249.291586731,246.259361617,249.16709655
2019-03-12,249.682841585,250.580949316,249.531674937,250.047419971
2019-03-13,250.963312014,252.652821608,250.794361055,251.781390344
2019-03-14,251.772498188,252.180470294,251.144267384,251.656900163
2019-03-15,252.14596873,253.61317443,251.941449148,252.786203945
2019-03-18,253.044076462,254.022213595,252.830664724,253.791017546
2019-03-19,254.769154679,255.556110464,252.932035299,253.906615571
2019-03-20,253.593796901,254.772223332,251.924359458,252.995656213
2019-03-21,252.210038592,256.280966262,252.192183647,255.834592614
2019-03-22,254.540109035,255.06682994,250.924482486,251.004829743
2019-03-25,250.656658297,251.825978706,249.54965165,250.781642919
2019-03-26,252.531427619,253.620311496,251.263726459,252.611774876
2019-03-27,252.665339713,253.236697983,249.821939576,251.379783607
2019-03-28,251.977924296,252.736759497,250.826280284,252.370733106
2019-03-29,253.816983725,254.200865063,252.674267186,254.040170549
2019-04-01,255.897084925,257.182641031,255.638188209,256.977309153
2019-04-02,257.084438829,257.254060815,256.254183843,257.039801464
2019-04-03,258.227155368,258.628891651,256.821078376,257.504030058
2019-04-04,257.771854247,258.352139989,257.066583883,258.120025692
2019-04-05,258.771731218,259.396654325,258.486052083,259.298452123
2019-04-08,258.923498258,259.655551041,258.280720205,259.584131257
2019-04-09,258.65567407,258.917070478,257.700434463,258.245010313
2019-04-10,258.646746597,259.20024992,258.245010313,259.093120245
2019-04-11,259.584131257,259.59305873,258.47712461,259.075265299
2019-04-12,260.655428013,261.075019242,259.976940068,260.825049999
2019-04-15,260.896469783,260.958962093,259.825173027,260.610790648
2019-04-16,261.503537944,261.557102782,260.200126892,260.807195053
2019-04-17,261.9142017,261.923129173,259.735898298,260.119779635
2019-04-18,260.762557688,260.932179674,259.450219163,260.682210432
2019-04-22,259.905520284,261.03930935,259.825173027,260.95003462
2019-04-23,261.262496174,263.454190786,261.04082702,263.217612752
2019-04-24,263.140211562,263.485347666,262.521269861,262.664109429
2019-04-25,262.583762172,263.146192968,261.289278593,262.503414915
2019-04-26,262.565907226,263.806825968,261.765380726,263.780043549
2019-04-29,263.81575344,264.663863372,263.723532645,264.065722683
2019-04-30,263.797898495,264.547806223,262.387268492,264.199634778
2019-05-01,264.904905142,265.083454601,262.262373145,262.289155564
2019-05-02,262.146315997,263.074773185,260.226909311,261.807072024
2019-05-03,263.172975387,264.547806223,262.976570982,264.262127088
2019-05-06,259.985867541,263.610421562,259.68233346,263.27117759
2019-05-07,260.79826758,261.387480795,256.888034424,258.816368583
2019-05-08,258.494979556,260.128707108,257.84327403,258.468197137
2019-05-09,256.397023411,258.218227895,254.638311238,257.753999301
2019-05-10,256.745194856,259.700902604,253.727708996,258.89671584
2019-05-13,253.816983725,254.790078278,251.611897904,252.468935308
2019-05-14,253.459884807,256.239096414,253.31704524,254.718658494
2019-05-15,253.093858416,256.843397059,252.870671592,256.24525637
2019-05-16,256.905889369,259.941230176,256.852324532,258.503907029
2019-05-17,256.298821208,259.378799379,256.289893735,257.021946518
2019-05-20,255.37036402,256.544862363,254.477616724,255.30787171
2019-05-21,256.905889369,257.878983922,256.655920127,257.53973995
2019-05-22,256.530935505,257.646869625,256.271949515,256.798759694
2019-05-23,254.522254089,254.531092287,252.174328701,253.593796901
2019-05-24,255.022192575,255.432856331,253.549159536,254.218720008
2019-05-28,254.450834305,255.392682703,251.826157255,251.826157255
2019-05-29,250.66558577,251.040539635,248.683686773,250.183502231
2019-05-30,250.826280284,251.683317688,249.683563745,250.745933027
2019-05-31,248.237313125,249.040785692,247.389203194,247.55882518
2019-06-03,247.424913086,248.531919733,245.41623167,246.737497668
2019-06-04,249.040785692,252.268870639,248.603339517,252.147546282
2019-06-05,253.763418888,254.34370463,251.943107151,254.307994738
2019-06-06,254.620456292,256.660383863,253.977678239,256.0042146
2019-06-07,257.021946518,259.637696095,256.843397059,258.602109232
2019-06-10,260.110852162,261.405335741,259.673405987,259.789463136
2019-06-11,261.574957728,261.949911592,259.057410353,259.744825771
2019-06-12,259.485929055,260.01264996,258.744948799,259.155612555
2019-06-13,260.146562054,260.655428013,259.457271867,260.342966459
2019-06-14,260.066214797,260.619718121,259.253904033,260.01264996
2019-06-17,260.262124535,260.890885492,259.956726356,260.253142236
2019-06-18,261.950796818,263.899955784,261.609469442,262.687345368
2019-06-19,262.992743547,263.980796478,262.085531309,263.396947019
2019-06-20,266.163495228,266.388052712,263.970736303,265.894026246
2019-06-21,265.687433361,266.953937573,265.39999978,265.489822774
2019-06-24,265.786238654,266.118583731,265.1125662,265.220353793
2019-06-25,265.292212188,265.346105984,262.552610877,262.65141617
2019-06-26,263.558628407,264.070619472,262.301106494,262.355000291
2019-06-27,263.172389534,263.837079688,262.831062158,263.432876216
2019-06-28,264.331106154,265.166459996,263.819115089,264.753274225
2019-07-01,268.004866601,268.462963869,265.894026246,267.061725166
2019-07-02,267.034778268,267.879114409,266.208406725,267.879114409
2019-07-03,268.471946168,269.936060967,268.346104154,269.90013177
2019-07-05,268.73243285,269.792344177,267.43987997,269.558804393
2019-07-08,268.310264779,268.615662958,267.43898174,268.166547989
2019-07-09,266.980884471,268.804291245,266.944955274,268.59769836
2019-07-10,269.576768992,270.717521013,269.019866431,269.828273375
2019-07-11,270.412122834,270.654644918,269.406105304,270.304335242
2019-07-12,270.9151316,271.705573945,270.600751121,271.705573945
2019-07-15,272.037919022,272.06486592,271.23526075,271.678627047
2019-07-16,271.63371555,271.804379238,270.537875026,270.76243251
2019-07-17,270.789379408,270.942078498,269.001901832,269.001901832
2019-07-18,268.471946168,270.33128214,268.049778097,270.052830859
2019-07-19,271.067830689,271.103759887,268.292300181,268.480928468
2019-07-22,268.867167341,269.657609686,268.364158576,269.091724826
2019-07-23,270.286370643,271.04986609,269.433052202,271.013936893
2019-07-24,270.313317541,272.316370303,270.214512248,272.316370303
2019-07-25,271.903184531,271.92564028,270.217206938,271.004954593
2019-07-26,271.714556245,273.043936553,271.624733251,272.855308266
2019-07-29,272.729556074,272.774467571,271.78641464,272.3612818
2019-07-30,270.951060797,272.07384822,270.564821924,271.696591646
2019-07-31,271.948096028,272.109777417,266.675486292,268.777344347
2019-08-01,268.858185042,271.804379238,265.570932938,266.343141215
2019-08-02,265.444911277,265.705397959,262.813097559,264.456858345
2019-08-05,260.280089134,260.351947529,254.504470632,256.507523394
2019-08-06,258.277036372,260.208230739,256.830886172,259.929779458
2019-08-07,256.902744567,260.899867791,254.791904213,260.181283841
2019-08-08,261.618451741,265.229336092,261.097478377,265.229336092
2019-08-09,264.322123855,264.932920213,261.672345538,263.504734611
2019-08-12,261.905885322,262.471770182,259.310000801,260.316018331
2019-08-13,259.920797159,265.732344857,259.588452082,264.331106154
2019-08-14,260.217213038,260.854956294,256.354824305,256.534470292
2019-08-15,257.360841835,258.007567391,255.11526699,257.199160446
2019-08-16,258.815974335,261.393894257,258.762080539,261.007655384
2019-08-19,263.95384958,264.771238824,263.307124025,264.142477867
2019-08-20,263.621504503,264.09756637,261.93283222,262.094513609
2019-08-21,264.214336262,264.591592836,263.567610707,264.24128316
2019-08-22,264.932920213,265.544524977,262.372964889,264.142477867
2019-08-23,262.849026756,264.483805244,256.085355323,257.315930338
2019-08-26,259.507611387,260.181283841,258.007567391,260.181283841
2019-08-27,261.573540244,261.93283222,258.411770863,259.184248609
2019-08-28,258.465664659,261.124425275,257.693186912,260.935796989
2019-08-29,263.567610707,264.834114919,262.552610877,264.331106154
2019-08-30,265.84013245,265.84013245,263.289159426,264.322123855
2019-09-03,262.516681679,263.441858516,261.340000461,262.65141617
2019-09-04,264.852079518,265.669468762,264.124513268,265.660486462
2019-09-05,268.15756569,270.007919362,268.031813499,269.136636322
2019-09-06,269.415087603,269.927078668,268.750397449,269.31628231
2019-09-09,270.304335242,270.349246739,268.489910767,269.442034501
2019-09-10,268.642609857,269.424069903,267.412034841,269.424069903
2019-09-11,269.693538884,271.373228868,269.055795628,271.373228868
2019-09-12,272.181635812,273.286458636,271.463051862,272.235529609
2019-09-13,272.666679979,273.018426823,271.660662448,272.046901322
2019-09-16,270.879202402,271.624733251,270.546857325,271.247476677
