Date,Open,High,Low,Close
2018-07-20,79.870148913,80.184174437,79.188264919,79.376680233
2018-07-23,79.22415355,79.995759123,79.107515498,79.744538704
2018-07-24,81.700469108,84.12295172,80.74942038,83.755093249
2018-07-25,83.584622251,86.71590533,83.467984199,86.518517858
2018-07-26,86.706933172,86.993145006,85.082972607,85.39699813
2018-07-27,85.818689548,86.994042222,85.253443605,86.671044541
2018-07-30,86.473657069,88.03032645,86.357019017,87.945090951
2018-07-31,88.151450581,89.003805574,87.505455218,88.653891419
2018-08-01,88.591086314,89.138387941,88.317435501,88.555197683
2018-08-02,87.882285846,90.071492354,87.78359211,89.246053835
2018-08-03,88.985861258,90.344245952,88.716696524,90.241963353
2018-08-06,90.080464512,92.045367075,89.918965672,91.516009764
2018-08-07,91.327594449,93.139970329,91.228900713,91.462176817
2018-08-08,91.381427396,92.117144337,91.004596768,91.758258025
2018-08-09,91.56984271,92.162005127,91.444232501,91.686480762
2018-08-10,91.650592131,92.583696544,91.506947884,91.740313709
2018-08-13,91.919756865,92.126116495,91.619189578,91.910784708
2018-08-14,91.813801616,92.778130717,91.362716809,92.418255258
2018-08-15,92.273908119,93.320424872,92.093474197,93.221186214
2018-08-16,93.149012645,94.673679293,93.149012645,94.150420917
2018-08-17,94.21357279,95.557805514,93.789553071,95.224002757
2018-08-20,95.251067846,95.972803537,95.251067846,95.467588553
2018-08-21,95.648022476,95.747170916,94.475201978,94.790961342
2018-08-22,94.547375547,95.296176326,93.960965298,94.754874558
2018-08-23,94.718787773,94.953351873,94.177486005,94.565418939
2018-08-24,95.242046149,95.666065868,94.303789751,95.422480072
2018-08-27,95.765304526,96.072042194,94.673679293,94.827048127
2018-08-28,94.754874558,95.260089542,94.357919928,94.8902
2018-08-29,94.186507701,95.260089542,94.078247347,95.025525442
2018-08-30,94.8902,95.390904136,94.673679293,95.160850884
2018-08-31,94.854113215,95.503675338,94.249659574,95.314219719
2018-09-04,95.00748205,95.359328199,94.168464309,94.384985016
2018-09-05,94.592484027,95.729217741,94.457158585,95.377371592
2018-09-06,95.332263111,95.40443668,93.514391339,95.061612227
2018-09-07,94.863134912,96.748669405,94.547375547,96.559213786
2018-09-10,96.983233505,97.289971173,95.982727403,96.008890321
2018-09-11,95.999868625,96.189324244,95.192426821,95.305198022
2018-09-12,95.458566857,96.072042194,95.187915973,95.602913995
2018-09-13,95.774326222,96.270519509,95.467588553,96.15323746
2018-09-14,96.144215763,96.252476117,95.088677315,95.422480072
2018-09-17,95.278132934,96.320138838,94.77291795,95.368349895
2018-09-18,95.512697034,96.703560924,94.827048127,96.423888344
2018-09-19,96.423888344,96.59530057,95.178894277,95.395414984
2018-09-20,95.377371592,95.729217741,94.024117171,95.693130956
2018-09-21,95.837478095,96.414866648,95.043568834,95.927695056
2018-09-24,95.584870603,96.234432725,95.260089542,95.260089542
2018-09-25,95.63900078,96.311117142,95.214981061,95.359328199
2018-09-26,95.68410926,96.865951455,95.634489932,95.909651664
2018-09-27,96.072042194,96.685517532,95.819434702,96.252476117
2018-09-28,96.324649686,97.199754212,95.900629968,96.811821278
2018-10-01,97.136602339,97.168178275,96.559213786,97.073450466
2018-10-02,96.983233505,97.560622057,96.703560924,97.398231527
2018-10-03,97.853827182,98.88681139,97.650839019,97.993663472
2018-10-04,102.504511542,104.362980947,100.173034609,101.936144685
2018-10-05,102.928531261,104.155481936,102.928531261,103.767549002
