Date,Open,High,Low,Close
2018-07-20,132.34271806,133.732316599,132.267093649,133.278570137
2018-07-23,132.966619445,133.259664035,132.002408213,132.371077213
2018-07-24,133.278570137,133.734679862,131.879518546,132.371077213
2018-07-25,132.664121803,134.961213267,132.248187547,134.8383236
2018-07-26,133.864659317,134.980119369,131.898424649,134.705980882
2018-07-27,135.254257857,135.310976165,131.595927008,133.013884701
2018-07-30,132.465607726,132.739746214,127.909237004,129.015244005
2018-07-31,129.629692339,130.471013904,128.211734646,129.261023339
2018-08-01,130.206328468,131.146907071,129.894377775,130.688434084
2018-08-02,129.932189981,131.577020905,129.506802673,131.32178852
2018-08-03,131.671551418,132.210375341,130.395389494,132.172563136
2018-08-06,132.011861264,132.588497393,131.444678187,132.068579572
2018-08-07,132.323811957,132.994978599,132.222286186,132.607403496
2018-08-08,132.323811957,133.278570137,132.182016188,132.985525547
2018-08-09,133.032790804,133.514896419,132.248187547,132.352171111
2018-08-10,132.229281444,133.042338385,131.633739213,132.087485675
2018-08-13,132.843729778,133.514896419,132.182016188,132.541232137
2018-08-14,132.626309598,133.278570137,132.229281444,133.061149958
2018-08-15,132.673574855,132.994978599,131.24616411,132.267093649
2018-08-16,133.554641193,133.952266126,132.939269273,133.15701626
2018-08-17,133.280090644,134.160545853,133.076544547,133.800789961
2018-08-20,133.999602427,134.056405989,133.204352561,133.431566809
2018-08-21,133.488370371,133.921402857,132.352299133,132.579513381
2018-08-22,132.399635435,133.990135167,132.399635435,133.620912015
2018-08-23,133.497837631,134.856389485,133.270623383,134.529769005
2018-08-24,134.738048731,136.688304355,134.738048731,136.51789367
2018-08-27,137.265807234,137.843310113,137.000723946,137.653964907
2018-08-28,137.871711894,138.382943951,137.15220011,137.464619701
2018-08-29,137.710768469,139.452649693,137.672899428,139.197128337
2018-08-30,138.998315871,139.840902039,138.562821897,138.922577788
2018-08-31,138.922577788,139.774631216,138.695363541,139.064586693
2018-09-04,139.102455734,139.982910943,138.853372116,139.926107381
2018-09-05,139.168726557,139.945041902,134.955795719,135.069402842
2018-09-06,135.656372981,136.991256685,134.946328458,136.801911479
2018-09-07,136.319081203,136.745107917,135.145140925,135.571167639
2018-09-10,136.451622848,136.745107917,135.580634899,136.404286546
2018-09-11,135.817316407,137.767572031,135.61850394,137.73917025
2018-09-12,138.079991621,138.97938135,137.344669513,138.761634363
2018-09-13,139.310735461,140.17698978,139.253931899,139.765163956
2018-09-14,140.030247245,140.465741219,139.500080667,139.963976423
2018-09-17,139.954509162,140.020779984,138.0610571,138.392411211
2018-09-18,138.411345732,140.200373912,138.174664224,139.765163956
2018-09-19,140.380535876,140.891767933,139.40635479,139.56635149
2018-09-20,140.105985327,141.521340744,139.358071763,141.289392866
2018-09-21,141.961568348,142.255053418,141.393532729,142.056240951
2018-09-24,141.213654783,141.677550539,139.424342585,141.166318482
2018-09-25,141.734354101,141.971035608,141.156851222,141.611279716
2018-09-26,142.00890465,142.406529583,141.10004766,141.317794647
2018-09-27,141.914232046,142.614809309,141.594238648,142.02783917
2018-09-28,141.829026704,142.359193281,141.582877936,142.094109992
2018-10-01,142.851490817,143.485797258,142.586407528,142.756818214
2018-10-02,142.804154516,142.804154516,141.223122044,141.696485059
2018-10-03,142.681080132,142.681080132,141.242056564,141.41246725
2018-10-04,141.232589304,141.327261907,138.316673129,138.941512309
2018-10-05,138.827905185,139.556884229,136.707238876,137.616095866
2018-10-08,137.284741755,137.284741755,132.712055025,134.330956538
2018-10-09,133.923864345,135.656372981,133.601977494,134.728581471
2018-10-10,134.974730239,135.086917274,128.006826651,128.300311721
2018-10-11,126.946493496,129.928680494,125.21398486,126.605672125
2018-10-12,131.102620772,133.46943585,130.10855844,132.598447901
2018-10-15,132.446971736,132.598447901,129.909745973,129.919213234
2018-10-16,131.32036776,134.567638046,131.291965979,134.188947633
2018-10-17,134.756983252,135.249280788,133.232754342,134.861123115
2018-10-18,134.870590376,134.870590376,130.600855976,131.869468857
2018-10-19,132.446971736,134.614974347,131.9546742,132.617382422
2018-10-22,133.45996859,133.999602427,132.077748584,133.147548999
2018-10-23,129.597326383,132.579513381,128.366582543,131.708525432
2018-10-24,132.25762653,132.712055025,126.861288154,127.107436922
2018-10-25,128.234040898,133.393697767,125.441199107,133.033941876
2018-10-26,130.629257757,132.418569955,128.811543777,130.402043509
2018-10-29,132.172421187,133.971200646,125.22345212,127.173707744
2018-10-30,125.990300205,127.67547254,122.875571563,125.687347875
2018-10-31,127.798546924,131.708525432,127.798546924,130.506183373
2018-11-01,131.594918309,133.365295986,130.165362002,133.327426945
2018-11-02,133.592510234,133.918752024,130.506183373,132.333364613
2018-11-05,132.352299133,132.740456806,130.7144631,132.352299133
2018-11-06,132.352299133,133.403165028,132.276561051,133.289557904
2018-11-07,134.756983252,137.180601891,134.738048731,137.066994768
2018-11-08,136.896584082,137.710768469,135.999087805,137.493021482
2018-11-09,136.51789367,136.868182301,134.775917773,136.262277641
2018-11-12,135.779447366,135.987727092,131.755861734,132.276561051
2018-11-13,132.87299845,134.340423798,131.604385569,132.276561051
2018-11-14,134.454030922,135.00313202,131.039000783,132.058814064
2018-11-15,131.688928022,134.591111096,130.816376249,134.524721287
2018-11-16,133.177956593,134.524721287,132.703743672,132.950334391
2018-11-19,133.225377885,133.320220469,127.326169154,127.809866333
2018-11-20,123.58937134,127.591728389,122.859083443,126.491554414
2018-11-21,127.430495996,128.77726069,126.738145132,127.487401547
2018-11-23,125.751782258,127.326169154,125.656939674,126.017341493
2018-11-26,127.658118198,129.479095813,127.326169154,128.929008825
2018-11-27,128.30304777,129.279926386,127.202873794,128.90055605
2018-11-28,130.000730025,134.240193535,129.809717061,134.0884454
2018-11-29,133.43403157,133.443515828,131.556148405,131.926034483
2018-11-30,131.840676157,134.92306014,131.480274337,134.401425928
2018-12-03,137.521746945,138.20461355,136.435799357,137.521746945
2018-12-04,135.748190622,136.905270148,131.356978978,131.489758596
2018-12-06,128.075425568,133.832370423,126.595881256,133.775464873
2018-12-07,133.557326929,134.799764781,128.980034135,130.038667059
2018-12-10,129.223020836,131.138841035,127.900441,130.768954957
2018-12-11,132.722712189,132.827039032,128.910040308,129.754139307
2018-12-12,132.115719651,133.61423248,130.645659597,130.693080889
2018-12-13,131.16729381,131.954487258,129.128178252,130.446490171
2018-12-14,128.691902365,129.668780981,127.610696906,128.12284686
2018-12-17,127.28823212,127.496885805,123.94977316,124.623155507
2018-12-18,125.467254505,127.250295086,125.002525843,125.818172067
2018-12-19,126.074247044,128.862619016,122.840114926,124.490375889
2018-12-20,123.447107464,125.20169527,120.592345683,122.119311287
2018-12-21,120.620798458,123.608339857,116.609051993,117.851395002
2018-12-24,115.783826669,118.752399551,115.328582265,115.451877624
2018-12-26,116.675346959,123.522981531,116.656378443,123.513497273
2018-12-27,121.389023389,125.20169527,119.994837403,125.20169527
2018-12-28,126.21651092,126.728660874,122.972894544,124.18687962
2018-12-31,124.888714742,125.609518382,123.513497273,125.135305461
2019-01-02,123.29535933,126.842471975,122.915988993,126.064762785
2019-01-03,124.442954597,124.509344406,121.284696547,121.521803007
2019-01-04,123.7126667,127.647306144,123.418654689,126.757113649
2019-01-07,127.515854322,130.094624184,127.126999727,129.042819926
2019-01-08,130.854313282,131.062966967,128.947977342,129.744655048
2019-01-09,131.16729381,132.286436302,130.522364238,131.271620652
2019-01-10,129.754139307,131.660475247,129.327347678,131.518211371
2019-01-11,130.645659597,131.451821562,130.323194811,130.939671608
2019-01-14,129.924855958,131.006061417,129.602391172,130.029182801
2019-01-15,129.896403183,130.617206822,128.274594995,130.256805002
2019-01-16,131.262136394,131.707896539,130.000730025,130.256805002
2019-01-17,129.905887441,130.797407732,129.545485622,130.199899452
2019-01-18,131.176778068,131.451821562,129.592906914,131.356978978
2019-01-22,130.787923473,132.324373336,129.91062957,130.93018735
2019-01-23,131.613053955,131.812223382,129.126091715,129.943824475
2019-01-24,130.038667059,131.186262327,129.479095813,130.598238305
2019-01-25,131.831191899,132.684775155,130.854313282,131.518211371
2019-01-28,130.418037395,130.418037395,127.857287625,128.976430117
2019-01-29,129.545485622,129.640328206,127.193389536,128.037488535
