Date,Open,High,Low,Close
2018-07-20,226.518618828,227.09152584,226.324711839,226.500990919
2018-07-23,226.280642068,227.056270024,225.989781585,226.932874667
2018-07-24,228.140386371,228.783805016,227.241363059,227.999363106
2018-07-25,227.87596775,230.264549295,227.779014255,230.088270214
2018-07-26,229.286200396,230.048607421,229.25094458,229.409595753
2018-07-27,229.806223684,229.815037638,227.029828162,227.92003752
2018-07-30,227.928851474,228.087502647,226.201316482,226.606758368
2018-07-31,227.41764214,228.360735222,227.04745607,227.752572393
2018-08-01,227.96410729,228.451695228,226.827988614,227.470525864
2018-08-02,226.280642068,228.810246878,226.060293217,228.625153843
2018-08-03,228.810246878,229.744526006,228.625153843,229.744526006
2018-08-06,229.656386466,230.775758629,229.33908412,230.608293502
2018-08-07,231.101874928,231.613084263,230.99610748,231.251712147
2018-08-08,231.12831679,231.516130768,230.740502813,231.12831679
2018-08-09,231.216456331,231.577828446,230.714060951,230.837456307
2018-08-10,229.480107385,230.012470209,228.660409659,229.268572488
2018-08-13,229.524177155,230.105898122,228.193270095,228.404804992
2018-08-14,229.109921315,230.105898122,228.766177108,229.876735317
2018-08-15,228.660409659,228.766177108,226.862363035,228.184456141
2018-08-16,229.480107385,230.827760958,229.471293431,230.035386489
2018-08-17,229.788595776,231.260526101,229.471293431,230.802200491
2018-08-20,231.278154009,231.577828446,230.837456307,231.313409825
2018-08-21,231.815805206,232.664765259,231.683595895,231.815805206
2018-08-22,231.489688906,232.203619183,231.269340055,231.745293573
2018-08-23,231.524944722,232.362270356,231.110688882,231.41036332
2018-08-24,231.948014516,232.943991323,231.903944746,232.864665736
2018-08-27,233.904712313,234.759665855,233.798944865,234.61864259
2018-08-28,235.121037971,235.182735649,234.354223969,234.750851901
2018-08-29,234.971200752,236.258038042,234.750851901,236.037689191
2018-08-30,235.605805443,235.958363604,234.556944912,235.0769682
2018-08-31,234.742037947,235.523218693,234.301340245,235.085782154
2018-09-04,234.759665855,235.03289843,233.798944865,234.759665855
2018-09-05,234.371851877,234.565758866,233.146712266,234.098619302
2018-09-06,234.177944888,234.442363509,232.423968034,233.411130887
2018-09-07,232.362270356,233.798944865,232.203619183,232.847037828
2018-09-10,233.816572773,234.07217744,233.137898312,233.28773553
2018-09-11,232.714828518,234.495159094,232.406340126,234.169130934
2018-09-12,234.107433256,234.680340269,233.419944841,234.195572796
2018-09-13,235.138665879,235.700996146,234.865433303,235.526479856
2018-09-14,235.746828707,235.883092437,234.865433303,235.649875213
2018-09-17,235.526479856,235.565084975,234.089805348,234.318968153
2018-09-18,234.539317004,236.143456639,234.53050305,235.596991489
2018-09-19,235.641061259,236.240410134,235.53529381,235.86141011
2018-09-20,236.998410181,238.06489862,236.910270641,237.756410229
2018-09-21,238.461526552,238.567294,237.421479975,237.588945102
2018-09-24,237.033665997,237.155298563,236.23159618,236.795689238
2018-09-25,237.183503216,237.247404383,236.346177582,236.504828755
2018-09-26,236.67898258,237.759142533,235.466016075,235.811313109
2018-09-27,236.286229338,237.49352943,236.041511132,236.466492097
2018-09-28,235.952973431,236.971156994,235.89099704,236.439930787
2018-10-01,237.688312373,238.321356935,236.740958971,237.316454028
2018-10-02,237.254477637,237.874241545,236.882619293,237.289892718
2018-10-03,238.184123499,238.582543154,237.033133384,237.49352943
2018-10-04,236.900326833,236.980010764,234.067120398,235.545700006
2018-10-05,235.678506558,236.192025224,232.871861433,234.217634489
2018-10-08,233.535894191,234.492101363,232.305220146,234.155658099
2018-10-09,233.828068605,235.023327569,233.340402947,233.854629915
2018-10-10,233.403087639,233.403087639,226.098727299,226.302364011
2018-10-11,225.602916172,226.913362686,219.971918382,221.539035692
2018-10-12,225.231057828,225.452402081,221.609688777,224.531609989
2018-10-15,224.168605415,225.38157192,223.150421852,223.300935944
2018-10-16,225.009713575,228.515806539,224.62014769,228.055410493
2018-10-17,228.205924585,228.728297021,225.833114195,228.135094424
2018-10-18,227.324089082,227.85177378,223.725916909,224.930029644
2018-10-19,225.474536506,227.205448562,224.133190334,224.752954242
2018-10-22,225.37271815,225.647185023,223.265520863,223.82330838
2018-10-23,220.458875739,223.628525438,218.546461395,222.477535324
2018-10-24,222.397851393,222.716587117,215.367957925,215.837207741
2018-10-25,217.545985372,221.15513622,216.627052573,219.706305279
2018-10-26,216.333018867,218.670414176,213.406847846,215.819500201
2018-10-29,218.714683027,219.883292144,211.419176456,214.703925167
2018-10-30,214.535703535,218.13918797,214.084161259,217.988673878
2018-10-31,220.210970175,222.300459921,219.81255052,220.272946566
2018-11-01,221.016663255,222.707733346,219.981214841,222.557219255
