Date,Open,High,Low,Close
2018-07-20,128.110781495,128.322826926,127.722031537,127.969417874
2018-07-23,127.925241742,128.252145115,127.6425145,128.172628079
2018-07-24,128.79109392,129.073821162,128.022429231,128.455355321
2018-07-25,128.375838284,129.586264288,128.119616721,129.550923383
2018-07-26,129.197514331,129.648110872,128.994304126,129.338877952
2018-07-27,129.524417704,129.559670257,127.783878121,128.305156473
2018-07-30,128.305156473,128.411179189,127.280270221,127.465809974
2018-07-31,127.951747421,128.561378036,127.705244607,128.190298531
2018-08-01,128.278650794,128.579048489,127.660184953,128.040099684
2018-08-02,127.377457711,128.914787089,127.296173629,128.799929147
2018-08-03,128.897116636,129.250614041,128.782258694,129.232855236
2018-08-06,129.268196141,129.929954592,129.074704685,129.815980172
2018-08-07,130.134048319,130.425610788,129.877826757,130.240071035
2018-08-08,130.169389225,130.342736365,129.860156304,130.116377867
2018-08-09,130.20473013,130.478622146,129.942677318,130.028025604
2018-08-10,129.303537046,129.665781325,128.94217629,129.215184783
2018-08-13,129.347713178,129.656946099,128.520559291,128.72041211
2018-08-14,129.091491615,129.686720811,128.923622315,129.568593836
2018-08-15,128.879446183,129.020809804,127.78970937,128.543707584
2018-08-16,129.241690462,130.010355151,129.22402001,129.550923383
2018-08-17,129.391889309,130.222577287,129.259360915,130.028025604
2018-08-20,130.27541194,130.487457372,130.019190377,130.27541194
2018-08-21,130.566974409,131.211945929,130.566974409,130.761349388
2018-08-22,130.575809635,131.016687428,130.50689487,130.805525519
2018-08-23,130.672997124,131.088252761,130.390269882,130.549303956
2018-08-24,130.893877782,131.432826587,130.849701651,131.362144777
2018-08-27,131.92759926,132.413536707,131.733224282,132.307513992
2018-08-28,132.616746913,132.705010823,132.114022536,132.387031029
2018-08-29,132.493053744,133.208707075,132.369360576,133.085013907
2018-08-30,132.802286665,133.058508228,132.236832181,132.537229876
2018-08-31,132.36052535,132.775780986,132.161732758,132.590241234
2018-09-04,132.43120716,132.616746913,131.839246997,132.404701481
2018-09-05,132.227996955,132.254502634,131.388650456,131.971775392
2018-09-06,132.051292429,132.254414282,131.076413558,131.574190208
2018-09-07,131.088252761,131.797898138,130.87620733,131.273792513
2018-09-10,131.821576545,131.936434487,131.456239937,131.556519755
2018-09-11,131.247286835,132.19265605,131.052911856,131.998281071
2018-09-12,131.918764034,132.210326502,131.459332266,132.007116297
2018-09-13,132.501888971,132.817129845,132.307513992,132.66975827
2018-09-14,132.775780986,132.952485512,132.342854897,132.775780986
2018-09-17,132.740440081,132.775780986,131.808323705,131.936434487
2018-09-18,132.02478675,132.920325289,131.998281071,132.643252592
2018-09-19,132.634417365,132.949569888,132.537229876,132.660923044
2018-09-20,133.261718433,133.827172917,132.987826418,133.685809296
2018-09-21,134.136405838,134.153192768,133.456093412,133.553280901
2018-09-24,133.297059338,133.350070696,132.76694576,133.067343454
2018-09-25,133.314729791,133.478181478,132.899474155,132.996661644
2018-09-26,133.067343454,133.668138843,132.342854897,132.484218518
2018-09-27,132.740440081,133.366062456,132.59907646,132.793451439
2018-09-28,132.521980361,133.148725525,132.477593309,132.85044454
2018-10-01,133.53400513,133.84471449,132.735038207,133.054624976
2018-10-02,133.036870156,133.249928002,132.655141515,132.859321951
2018-10-03,133.391966566,133.596147002,132.85044454,133.036870156
2018-10-04,132.788302669,132.814934899,131.12822695,131.909439053
2018-10-05,131.936071284,132.229025822,130.258240744,131.057207668
2018-10-08,130.746498309,131.175454773,129.929776565,130.959556155
2018-10-09,130.719866078,131.403426668,130.515596868,130.728743488
2018-10-10,130.43578895,130.45354377,126.424087253,126.565238076
2018-10-11,126.076980512,126.920245713,123.174067357,123.866505357
2018-10-12,126.059225692,126.340462049,123.830995716,125.499948845
