seg,n,cagr,sharpe,mdd,alpha_ann,t_nw,beta,bench_cagr,bench_sharpe,id,note,turn_yr,tier_dist
TRAIN,2538,0.03993468347185014,0.7574071799114679,-0.07264651436905434,0.011408161148565923,2.0615557166054286,0.6599176996237702,0.042234064684441464,0.5848135344795475,V1,主口径（卡片锁死）,1.303711729633014,HIGH:10/MID:64/LOW:157
VALID,1008,0.030396817110386776,0.8045714214002408,-0.05884035296395773,0.008665930287052266,2.278040653167039,0.5314460800269399,0.03976302539505605,0.5957551780933126,V1,主口径（卡片锁死）,1.303711729633014,HIGH:10/MID:64/LOW:157
TEST,1171,-0.004765452759732169,-0.031738810423537225,-0.14771698595704763,0.017273751126010217,2.2644780012475154,0.8378779117607581,-0.026314019087675944,-0.2842954789921043,V1,主口径（卡片锁死）,1.303711729633014,HIGH:10/MID:64/LOW:157
TRAIN,2538,0.04785076294233992,0.7886512811512432,-0.07624106078104731,0.015941345351656186,2.188020752997952,0.7394451856895116,0.042234064684441464,0.5848135344795475,V2,符号规则,1.7388288102824772,HIGH:67/MID:0/LOW:164
VALID,1008,0.03160773142624196,0.7869970770422222,-0.06626154577947485,0.009229109434409547,1.677994449294761,0.5485541630102382,0.03976302539505605,0.5957551780933126,V2,符号规则,1.7388288102824772,HIGH:67/MID:0/LOW:164
TEST,1171,-0.010671569289213645,-0.10321384077327679,-0.17139240250018828,0.012162105726579537,0.962180958930355,0.8583181801525829,-0.026314019087675944,-0.2842954789921043,V2,符号规则,1.7388288102824772,HIGH:67/MID:0/LOW:164
TRAIN,2538,0.03944665752458021,0.7550222773407488,-0.06668588561555566,0.01117492356395255,2.034989219569412,0.6539892459992349,0.042234064684441464,0.5848135344795475,V3,TLT 因变量,1.214682201787846,HIGH:9/MID:65/LOW:157
VALID,1008,0.03039681711038722,0.804571421400241,-0.05884035296395762,0.008665930287052304,2.278040653167062,0.5314460800269402,0.03976302539505605,0.5957551780933126,V3,TLT 因变量,1.214682201787846,HIGH:9/MID:65/LOW:157
TEST,1171,-0.009299973488733793,-0.095372938197486,-0.1647281763998385,0.012843759977131029,1.738656123819296,0.8429099010832818,-0.026314019087675944,-0.2842954789921043,V3,TLT 因变量,1.214682201787846,HIGH:9/MID:65/LOW:157
TRAIN,2538,0.03775315334163243,0.6949408582158835,-0.07378384569007246,0.00897189115092244,1.4093462695674144,0.6699260320057538,0.042234064684441464,0.5848135344795475,V4,符号×TLT,1.9002493266538396,HIGH:61/MID:0/LOW:170
VALID,1008,0.03160773142624418,0.7869970770422505,-0.06626154577947263,0.009229109434410705,1.6779944492949868,0.5485541630102395,0.03976302539505605,0.5957551780933126,V4,符号×TLT,1.9002493266538396,HIGH:61/MID:0/LOW:170
TEST,1171,-0.012716096880719285,-0.1262899191080731,-0.1713924025001896,0.01066178955058465,0.8607054014261571,0.8776037044925719,-0.026314019087675944,-0.2842954789921043,V4,符号×TLT,1.9002493266538396,HIGH:61/MID:0/LOW:170
TRAIN,1383,0.010360556580647717,0.29006799473959466,-0.0659274313490178,0.0004495672833371047,0.09550442427935753,0.5861296493569111,0.016316405559685387,0.2954121272656495,V5,预热 120 月,0.8898558663234617,HIGH:4/MID:49/LOW:118
VALID,1008,0.030396817110388774,0.8045714214002647,-0.058840352963956954,0.008665930287053075,2.278040653167259,0.5314460800269425,0.039763025395056495,0.5957551780933148,V5,预热 120 月,0.8898558663234617,HIGH:4/MID:49/LOW:118
TEST,1171,-0.004765452759731725,-0.031738810423533874,-0.14771698595704796,0.017273751126009807,2.264478001247481,0.837877911760759,-0.026314019087675278,-0.2842954789920942,V5,预热 120 月,0.8898558663234617,HIGH:4/MID:49/LOW:118
TRAIN,2413,0.03662755893492986,0.7107583582532809,-0.08224338480935622,0.007792410258899532,1.4301683293207914,0.6516925841932394,0.043455940299067075,0.6035575739169238,V6,12 月持有期（CP 原文）,0.9549121250534947,HIGH:25/MID:61/LOW:134
VALID,1008,0.025181523134754524,0.6268941056620907,-0.0752694716982778,0.002363387997398595,0.4518068169597777,0.5638559055568451,0.03976302539505583,0.5957551780933126,V6,12 月持有期（CP 原文）,0.9549121250534947,HIGH:25/MID:61/LOW:134
TEST,1171,-0.012552280855984588,-0.1153777242566272,-0.17777799295181806,0.01279021705201742,1.4175841849368078,0.9499563594029928,-0.026314019087675167,-0.28429547899209673,V6,12 月持有期（CP 原文）,0.9549121250534947,HIGH:25/MID:61/LOW:134
