合约,数据起点,回填段末,保守真实段起点,回填占比
CLF27.NYM,2018-01-22,-,2018-01-22,0.0
CLF28.NYM,2018-11-20,-,2018-11-20,0.0
CLG27.NYM,2018-01-22,-,2018-01-22,0.0
CLG28.NYM,2018-11-20,-,2018-11-20,0.0
CLH27.NYM,2018-11-20,-,2018-11-20,0.0
CLH28.NYM,2019-06-10,-,2019-06-10,0.0
CLJ27.NYM,2018-11-20,-,2018-11-20,0.0
CLJ28.NYM,2019-06-10,-,2019-06-10,0.0
CLK27.NYM,2018-11-20,-,2018-11-20,0.0
CLK28.NYM,2019-06-10,-,2019-06-10,0.0
CLM27.NYM,2018-11-20,-,2018-11-20,0.0
CLM28.NYM,2019-06-10,-,2019-06-10,0.0
CLN27.NYM,2018-11-20,-,2018-11-20,0.0
CLN28.NYM,2019-06-10,-,2019-06-10,0.0
CLQ26.NYM,2018-01-22,-,2018-01-22,0.0
CLQ27.NYM,2018-11-20,-,2018-11-20,0.0
CLQ28.NYM,2019-06-10,-,2019-06-10,0.0
CLU27.NYM,2018-11-20,-,2018-11-20,0.0
CLU28.NYM,2019-06-10,-,2019-06-10,0.0
CLV26.NYM,2018-01-22,-,2018-01-22,0.0
CLV27.NYM,2018-11-20,-,2018-11-20,0.0
CLV28.NYM,2019-06-10,-,2019-06-10,0.0
CLX26.NYM,2018-01-22,-,2018-01-22,0.0
CLX27.NYM,2018-11-20,-,2018-11-20,0.0
CLX28.NYM,2019-06-10,-,2019-06-10,0.0
CLZ26.NYM,2017-11-21,-,2017-11-21,0.0
CLZ27.NYM,2018-11-20,-,2018-11-20,0.0
CLZ28.NYM,2019-06-10,-,2019-06-10,0.0
GCG27.CMX,2025-02-27,-,2025-02-27,0.0
GCJ27.CMX,2025-04-11,-,2025-04-11,0.0
GCM27.CMX,2021-06-29,-,2021-06-29,0.0
GCM28.CMX,2022-06-29,-,2022-06-29,0.0
GCQ27.CMX,2025-06-26,-,2025-06-26,0.0
GCV26.CMX,2024-11-27,-,2024-11-27,0.0
GCV27.CMX,2025-08-27,-,2025-08-27,0.0
GCZ26.CMX,2020-12-30,-,2020-12-30,0.0
GCZ27.CMX,2021-12-30,-,2021-12-30,0.0
GCZ28.CMX,2022-12-29,-,2022-12-29,0.0
HGF27.CMX,2025-01-30,-,2025-01-30,0.0
HGH27.CMX,2021-12-30,-,2021-12-30,0.0
HGH28.CMX,2022-12-29,-,2022-12-29,0.0
HGK27.CMX,2022-02-25,-,2022-02-25,0.0
HGK28.CMX,2023-02-27,-,2023-02-27,0.0
HGN27.CMX,2022-04-28,-,2022-04-28,0.0
HGN28.CMX,2023-04-27,-,2023-04-27,0.0
HGU26.CMX,2021-06-29,-,2021-06-29,0.0
HGU27.CMX,2022-06-29,-,2022-06-29,0.0
HGU28.CMX,2023-06-29,-,2023-06-29,0.0
HGZ26.CMX,2021-09-29,-,2021-09-29,0.0
HGZ27.CMX,2022-09-29,-,2022-09-29,0.0
HGZ28.CMX,2023-09-28,-,2023-09-28,0.0
NGF27.NYM,2014-11-25,-,2014-11-25,0.0
NGF28.NYM,2015-11-25,-,2015-11-25,0.0
NGG27.NYM,2014-11-25,-,2014-11-25,0.0
NGG28.NYM,2015-11-25,-,2015-11-25,0.0
NGH27.NYM,2014-11-25,-,2014-11-25,0.0
NGH28.NYM,2015-11-25,-,2015-11-25,0.0
NGJ27.NYM,2014-11-25,-,2014-11-25,0.0
NGJ28.NYM,2015-11-25,-,2015-11-25,0.0
NGK27.NYM,2014-11-25,-,2014-11-25,0.0
NGK28.NYM,2015-11-25,-,2015-11-25,0.0
NGM27.NYM,2014-11-25,-,2014-11-25,0.0
NGM28.NYM,2015-11-25,-,2015-11-25,0.0
NGN27.NYM,2014-11-25,-,2014-11-25,0.0
NGN28.NYM,2015-11-25,-,2015-11-25,0.0
NGQ27.NYM,2014-11-25,-,2014-11-25,0.0
NGQ28.NYM,2015-11-25,-,2015-11-25,0.0
NGU27.NYM,2014-11-25,-,2014-11-25,0.0
NGU28.NYM,2015-11-25,-,2015-11-25,0.0
NGV26.NYM,2014-01-02,-,2014-01-02,0.0
NGV27.NYM,2014-11-25,-,2014-11-25,0.0
NGV28.NYM,2015-11-25,-,2015-11-25,0.0
NGX26.NYM,2014-01-02,-,2014-01-02,0.0
NGX27.NYM,2014-11-25,-,2014-11-25,0.0
NGX28.NYM,2015-11-25,-,2015-11-25,0.0
NGZ26.NYM,2014-01-02,-,2014-01-02,0.0
NGZ27.NYM,2014-11-25,-,2014-11-25,0.0
NGZ28.NYM,2015-11-25,-,2015-11-25,0.0
SIF27.CMX,2025-02-07,-,2025-02-07,0.0
SIH27.CMX,2025-03-27,-,2025-03-27,0.0
SIK27.CMX,2025-04-11,-,2025-04-11,0.0
SIN27.CMX,2022-07-28,-,2022-07-28,0.0
SIN28.CMX,2023-07-28,-,2023-07-28,0.0
SIU26.CMX,2024-10-30,-,2024-10-30,0.0
SIU27.CMX,2025-07-29,-,2025-07-29,0.0
SIZ26.CMX,2021-12-30,-,2021-12-30,0.0
SIZ27.CMX,2022-12-29,-,2022-12-29,0.0
SIZ28.CMX,2023-12-28,-,2023-12-28,0.0
ZCH27.CBT,2024-12-13,-,2024-12-13,0.0
ZCK27.CBT,2024-12-13,-,2024-12-13,0.0
ZCN27.CBT,2023-12-14,-,2023-12-14,0.0
ZCN28.CBT,2024-12-13,-,2024-12-13,0.0
ZCU26.CBT,2023-12-14,2026-08-12,2026-09-03,0.02
ZCU27.CBT,2024-12-13,-,2024-12-13,0.0
ZCZ26.CBT,2022-12-14,-,2022-12-14,0.0
ZCZ27.CBT,2023-12-14,-,2023-12-14,0.0
