date,ret
2007-04-18,-0.0015
2007-04-19,-0.0056362828950013415
2007-04-20,-0.0
2007-04-23,0.0
2007-04-24,0.0
2007-04-25,-0.0015
2007-04-26,-0.02380414071467868
2007-04-27,0.0
2007-04-30,-0.0
2007-05-01,-0.0
2007-05-02,-0.0015
2007-05-03,0.025426850109565635
2007-05-04,-0.0
2007-05-07,-0.0
2007-05-08,-0.0
2007-05-09,-0.0015
2007-05-10,-0.004802933351674308
2007-05-11,0.0
2007-05-14,0.0
2007-05-15,-0.0
2007-05-16,-0.0015
2007-05-17,0.018462035783601893
2007-05-18,-0.0
2007-05-21,0.0
2007-05-22,-0.0
2007-05-23,-0.0015
2007-05-24,-0.009434969265366187
2007-05-25,-0.0
2007-05-29,-0.0
2007-05-30,0.0
2007-05-31,-0.0
2007-06-01,-0.0
2007-06-04,0.0
2007-06-05,-0.0
2007-06-06,-0.0015
2007-06-07,-0.039307182274306574
2007-06-08,-0.0
2007-06-11,-0.0
2007-06-12,0.0
2007-06-13,-0.0015
2007-06-14,0.02083401596201334
2007-06-15,0.0
2007-06-18,-0.0
2007-06-19,-0.0
2007-06-20,-0.0015
2007-06-21,-0.005854117488405862
2007-06-22,-0.0
2007-06-25,-0.0
2007-06-26,-0.0
2007-06-27,-0.0015
2007-06-28,-0.05716562269581166
2007-06-29,0.0
2007-07-02,-0.0
2007-07-03,-0.0
2007-07-05,-0.0
2007-07-06,-0.0
2007-07-09,-0.0
2007-07-10,0.0
2007-07-11,-0.0015
2007-07-12,-0.010000514961630512
2007-07-13,0.0
2007-07-16,-0.0
2007-07-17,-0.0
2007-07-18,-0.0015
2007-07-19,0.030048749761239446
2007-07-20,-0.0
2007-07-23,-0.0
2007-07-24,-0.0
2007-07-25,-0.0015
2007-07-26,-0.002531217184409239
2007-07-27,0.0
2007-07-30,0.0
2007-07-31,-0.0
2007-08-01,-0.0015
2007-08-02,-0.03798913935222187
2007-08-03,-0.0
2007-08-06,0.0
2007-08-07,-0.0
2007-08-08,-0.0015
2007-08-09,0.05015036842249426
2007-08-10,0.0
2007-08-13,-0.0
2007-08-14,0.0
2007-08-15,-0.0015
2007-08-16,0.0010229498670018557
2007-08-17,0.0
2007-08-20,-0.0
2007-08-21,-0.0
2007-08-22,-0.0015
2007-08-23,0.015579860741478381
2007-08-24,-0.0
2007-08-27,-0.0
2007-08-28,0.0
2007-08-29,-0.0015
2007-08-30,0.014596508877750937
2007-08-31,-0.0
2007-09-04,0.0
2007-09-05,0.0
2007-09-06,-0.0
2007-09-07,-0.0
2007-09-10,0.0
2007-09-11,-0.0
2007-09-12,-0.0015
2007-09-13,-0.05281412260102575
2007-09-14,0.0
2007-09-17,0.0
2007-09-18,-0.0
2007-09-19,-0.0015
2007-09-20,0.012767165964864548
2007-09-21,-0.0
2007-09-24,0.0
2007-09-25,-0.0
2007-09-26,-0.0015
2007-09-27,-0.02263029638877906
2007-09-28,-0.0
2007-10-01,0.0
2007-10-02,0.0
2007-10-03,-0.0015
2007-10-04,0.019141677442245986
2007-10-05,-0.0
2007-10-08,-0.0
2007-10-09,-0.0
2007-10-10,0.0
2007-10-11,-0.0
2007-10-12,0.0
2007-10-15,0.0
2007-10-16,-0.0
2007-10-17,-0.0015
2007-10-18,-0.00965543688624798
2007-10-19,-0.0
2007-10-22,-0.0
2007-10-23,-0.0
2007-10-24,-0.0015
2007-10-25,0.015715197599386832
2007-10-26,-0.0
2007-10-29,0.0
2007-10-30,0.0
2007-10-31,-0.0015
2007-11-01,0.025495573992518727
2007-11-02,-0.0
2007-11-05,-0.0
2007-11-06,-0.0
2007-11-07,-0.0015
2007-11-08,0.009667477402760584
2007-11-09,0.0
2007-11-12,-0.0
2007-11-13,0.0
2007-11-14,-0.0
2007-11-15,-0.0
2007-11-16,0.0
2007-11-19,-0.0
2007-11-20,-0.0
2007-11-21,0.0
2007-11-23,0.0
2007-11-26,0.0
2007-11-27,-0.0
2007-11-28,-0.0015
2007-11-29,-0.003398039392540518
2007-11-30,-0.0
2007-12-03,-0.0
2007-12-04,-0.0
2007-12-05,-0.0015
2007-12-06,0.014870251520226198
2007-12-07,-0.0
2007-12-10,-0.0
2007-12-11,0.0
2007-12-12,-0.0015
2007-12-13,-0.028111829914949482
2007-12-14,-0.0
2007-12-17,0.0
2007-12-18,0.0
2007-12-19,-0.0015
2007-12-20,-0.009459032884251593
2007-12-21,0.0
2007-12-24,-0.0
2007-12-26,0.0
2007-12-27,0.0
2007-12-28,0.0
2007-12-31,0.0
2008-01-02,0.0
2008-01-03,-0.0
2008-01-04,0.0
2008-01-07,0.0
2008-01-08,0.0
2008-01-09,-0.0015
2008-01-10,0.017863014561355472
2008-01-11,-0.0
2008-01-14,0.0
2008-01-15,-0.0
2008-01-16,-0.0015
2008-01-17,-0.009901171756943992
2008-01-18,-0.0
2008-01-22,-0.0
2008-01-23,0.0
2008-01-24,0.0
2008-01-25,0.0
2008-01-28,0.0
2008-01-29,-0.0
2008-01-30,-0.0015
2008-01-31,-0.0009905639679383391
2008-02-01,-0.0
2008-02-04,0.0
2008-02-05,0.0
2008-02-06,-0.0015
2008-02-07,0.02262737329300607
2008-02-08,0.0
2008-02-11,0.0
2008-02-12,-0.0
2008-02-13,-0.0015
2008-02-14,0.0387242245921125
2008-02-15,-0.0
2008-02-19,0.0
2008-02-20,-0.0
2008-02-21,-0.0
2008-02-22,0.0
2008-02-25,-0.0
2008-02-26,-0.0
2008-02-27,-0.0015
2008-02-28,0.042520845022534115
2008-02-29,-0.0
2008-03-03,-0.0
2008-03-04,0.0
2008-03-05,-0.0015
2008-03-06,-0.0015
2008-03-07,0.0
2008-03-10,0.0
2008-03-11,-0.0
2008-03-12,-0.0015
2008-03-13,0.023658510075513617
2008-03-14,-0.0
2008-03-17,-0.0
2008-03-18,0.0
2008-03-19,-0.0015
2008-03-20,0.009674497047154564
2008-03-24,0.0
2008-03-25,0.0
2008-03-26,-0.0015
2008-03-27,-0.001713995204777162
2008-03-28,0.0
