date,ret
2011-01-05,5.555555555555557e-06
2011-01-06,5.9523809523809525e-06
2011-01-07,5.555555555555557e-06
2011-01-10,5.9523809523809525e-06
2011-01-11,5.9523809523809525e-06
2011-01-12,5.9523809523809525e-06
2011-01-13,5.9523809523809525e-06
2011-01-14,5.9523809523809525e-06
2011-01-18,6.349206349206349e-06
2011-01-19,6.349206349206349e-06
2011-01-20,6.349206349206349e-06
2011-01-21,6.349206349206349e-06
2011-01-24,6.349206349206349e-06
2011-01-25,6.349206349206349e-06
2011-01-26,6.349206349206349e-06
2011-01-27,5.9523809523809525e-06
2011-01-28,5.9523809523809525e-06
2011-01-31,5.9523809523809525e-06
2011-02-01,5.9523809523809525e-06
2011-02-02,6.349206349206349e-06
2011-02-03,5.555555555555557e-06
2011-02-04,5.9523809523809525e-06
2011-02-07,6.349206349206349e-06
2011-02-08,5.9523809523809525e-06
2011-02-09,5.555555555555557e-06
2011-02-10,4.7619047619047615e-06
2011-02-11,4.7619047619047615e-06
2011-02-14,5.158730158730158e-06
2011-02-15,5.158730158730158e-06
2011-02-16,4.7619047619047615e-06
2011-02-17,3.571428571428572e-06
2011-02-18,3.968253968253968e-06
2011-02-22,4.7619047619047615e-06
2011-02-23,4.7619047619047615e-06
2011-02-24,5.158730158730158e-06
2011-02-25,5.158730158730158e-06
2011-02-28,5.9523809523809525e-06
2011-03-01,5.555555555555557e-06
2011-03-02,5.158730158730158e-06
2011-03-03,5.158730158730158e-06
2011-03-04,4.7619047619047615e-06
2011-03-07,4.365079365079366e-06
2011-03-08,4.365079365079366e-06
2011-03-09,3.968253968253968e-06
2011-03-10,3.174603174603174e-06
2011-03-11,3.174603174603174e-06
2011-03-14,3.571428571428572e-06
2011-03-15,3.968253968253968e-06
2011-03-16,3.968253968253968e-06
2011-03-17,3.174603174603174e-06
2011-03-18,2.7777777777777783e-06
2011-03-21,3.968253968253968e-06
2011-03-22,3.968253968253968e-06
2011-03-23,3.571428571428572e-06
2011-03-24,3.571428571428572e-06
2011-03-25,3.571428571428572e-06
2011-03-28,4.365079365079366e-06
2011-03-29,3.968253968253968e-06
2011-03-30,3.968253968253968e-06
2011-03-31,3.571428571428572e-06
2011-04-01,2.7777777777777783e-06
2011-04-04,2.3809523809523808e-06
2011-04-05,2.7777777777777783e-06
2011-04-06,2.3809523809523808e-06
2011-04-07,1.587301587301587e-06
2011-04-08,1.587301587301587e-06
2011-04-11,1.984126984126984e-06
2011-04-12,1.984126984126984e-06
2011-04-13,2.3809523809523808e-06
2011-04-14,2.7777777777777783e-06
2011-04-15,2.7777777777777783e-06
2011-04-18,2.7777777777777783e-06
2011-04-19,2.3809523809523808e-06
2011-04-20,2.3809523809523808e-06
2011-04-21,2.3809523809523808e-06
2011-04-25,2.7777777777777783e-06
2011-04-26,2.7777777777777783e-06
2011-04-27,2.3809523809523808e-06
2011-04-28,1.587301587301587e-06
2011-04-29,1.587301587301587e-06
2011-05-02,1.984126984126984e-06
2011-05-03,1.1904761904761904e-06
2011-05-04,1.1904761904761904e-06
2011-05-05,7.936507936507937e-07
2011-05-06,7.936507936507937e-07
2011-05-09,1.1904761904761904e-06
2011-05-10,1.1904761904761904e-06
2011-05-11,1.1904761904761904e-06
2011-05-12,7.936507936507937e-07
2011-05-13,1.1904761904761904e-06
2011-05-16,1.587301587301587e-06
2011-05-17,1.587301587301587e-06
2011-05-18,1.984126984126984e-06
2011-05-19,1.984126984126984e-06
2011-05-20,1.984126984126984e-06
2011-05-23,2.3809523809523808e-06
2011-05-24,2.3809523809523808e-06
2011-05-25,2.3809523809523808e-06
2011-05-26,1.984126984126984e-06
2011-05-27,1.984126984126984e-06
2011-05-31,2.3809523809523808e-06
2011-06-01,1.984126984126984e-06
2011-06-02,1.587301587301587e-06
2011-06-03,1.587301587301587e-06
2011-06-06,1.984126984126984e-06
2011-06-07,1.984126984126984e-06
2011-06-08,1.587301587301587e-06
2011-06-09,1.984126984126984e-06
2011-06-10,1.984126984126984e-06
2011-06-13,1.984126984126984e-06
2011-06-14,1.984126984126984e-06
2011-06-15,1.984126984126984e-06
2011-06-16,1.984126984126984e-06
2011-06-17,1.587301587301587e-06
2011-06-20,1.1904761904761904e-06
2011-06-21,1.1904761904761904e-06
2011-06-22,7.936507936507937e-07
2011-06-23,3.9682539682539683e-07
2011-06-24,7.936507936507937e-07
2011-06-27,7.936507936507937e-07
2011-06-28,1.1904761904761904e-06
2011-06-29,7.936507936507937e-07
2011-06-30,1.1904761904761904e-06
2011-07-01,7.936507936507937e-07
2011-07-05,7.936507936507937e-07
2011-07-06,3.9682539682539683e-07
2011-07-07,1.1904761904761904e-06
2011-07-08,1.1904761904761904e-06
2011-07-11,1.1904761904761904e-06
2011-07-12,1.1904761904761904e-06
