date,n_tradable,long,short
2011-10-03,12,"PL,PA,GC,SI,SB","RB,CL,CC,NG,ZW"
2011-11-01,12,"PL,GC,PA,SB,RB","CL,ZS,CC,NG,ZW"
2011-12-01,13,"PL,GC,PA,SI,RB","CC,ZS,HG,NG,ZW"
2012-01-03,13,"PL,GC,PA,RB,SI","ZS,CC,HG,NG,ZW"
2012-02-01,13,"PL,PA,GC,RB,SI","ZS,HG,CC,NG,ZW"
2012-03-01,13,"PL,PA,GC,SI,RB","ZC,HG,CC,NG,ZW"
2012-04-02,13,"PL,PA,GC,RB,SI","ZC,HG,CC,NG,ZW"
2012-05-01,13,"PL,GC,PA,RB,ZS","ZC,HG,NG,CC,ZW"
2012-06-01,13,"PL,GC,ZS,RB,SI","ZC,CC,ZW,NG,HG"
2012-07-02,13,"PL,GC,ZS,RB,PA","ZC,ZW,CC,NG,HG"
2012-08-01,13,"PL,GC,ZS,RB,SB","SI,ZW,CC,NG,HG"
2012-09-04,13,"PL,GC,PA,SI,ZS","CC,SB,ZW,NG,HG"
2012-10-01,13,"PL,PA,GC,SI,RB","CL,ZW,SB,HG,NG"
2012-11-01,13,"PL,PA,GC,SI,RB","CL,ZW,SB,HG,NG"
2012-12-03,13,"PL,PA,GC,SI,RB","CL,ZW,SB,NG,HG"
2013-01-02,13,"PA,PL,GC,SI,RB","CL,HG,SB,ZW,NG"
2013-02-01,13,"PL,PA,GC,SI,RB","ZC,HG,SB,ZW,NG"
2013-03-01,13,"PL,PA,RB,GC,SI","HG,ZC,SB,ZW,NG"
2013-04-01,13,"PA,PL,GC,RB,ZS","CC,SB,NG,ZW,HG"
2013-05-01,13,"PA,PL,GC,CC,RB","ZC,NG,SB,ZW,HG"
2013-06-03,13,"PA,PL,CC,RB,CL","ZC,NG,SB,HG,ZW"
2013-07-01,13,"PA,PL,CC,ZS,CL","ZC,SB,NG,ZW,HG"
2013-08-01,13,"PA,PL,CC,RB,CL","SB,NG,ZC,HG,ZW"
2013-09-03,13,"PA,PL,CC,RB,GC","SB,HG,NG,ZC,ZW"
2013-10-01,13,"PA,PL,CC,ZS,GC","SB,HG,NG,ZW,ZC"
2013-11-01,13,"PA,PL,CC,SB,SI","RB,HG,ZW,NG,ZC"
2013-12-02,13,"PA,PL,CC,RB,ZS","GC,NG,ZC,ZW,HG"
2014-01-02,13,"PA,CC,PL,RB,ZS","SB,HG,NG,ZC,ZW"
2014-02-03,13,"PL,PA,CC,CL,ZS","NG,SB,HG,ZC,ZW"
2014-03-03,13,"PL,PA,CC,GC,RB","SB,NG,ZC,ZW,HG"
2014-04-01,13,"PL,PA,CC,GC,RB","SB,ZC,ZW,NG,HG"
2014-05-01,13,"PL,PA,CC,RB,CL","SI,ZC,ZW,NG,HG"
2014-06-02,13,"PL,PA,CC,CL,RB","SI,ZC,ZW,NG,HG"
2014-07-01,13,"PL,PA,CC,GC,CL","ZC,ZS,NG,HG,ZW"
2014-08-01,13,"PL,PA,GC,CC,SI","HG,ZC,NG,ZS,ZW"
2014-09-02,13,"PA,PL,CC,GC,SI","HG,ZC,ZW,NG,ZS"
2014-10-01,13,"PA,PL,CC,CL,GC","ZC,NG,ZS,HG,ZW"
2014-11-03,13,"PA,PL,CC,GC,CL","SB,ZW,ZS,HG,NG"
2014-12-01,13,"PA,PL,CC,RB,CL","SB,ZW,ZS,NG,HG"
2015-01-02,13,"PA,PL,CC,GC,SI","ZW,SB,ZS,NG,HG"
2015-02-02,13,"PA,PL,GC,SI,CC","ZC,ZW,ZS,NG,HG"
2015-03-02,13,"PA,PL,GC,CC,SI","ZC,ZW,ZS,NG,HG"
2015-04-01,13,"PA,PL,SI,CC,RB","SB,ZS,ZW,HG,NG"
2015-05-01,13,"PA,PL,GC,CC,CL","ZC,ZS,HG,ZW,NG"
2015-06-01,13,"PA,PL,SI,CC,GC","HG,ZC,ZW,ZS,NG"
