date,symbol,from,to,sides
2011-10-03,GC,0,1,1
2011-10-03,SI,0,1,1
2011-10-03,NG,0,-1,1
2011-10-03,PA,0,1,1
2011-10-03,RB,0,-1,1
2011-10-03,ZW,0,-1,1
2011-10-03,PL,0,1,1
2011-10-03,CL,0,-1,1
2011-10-03,CC,0,-1,1
2011-10-03,SB,0,1,1
2011-11-01,ZS,0,-1,1
2011-11-01,SI,1,0,1
2011-11-01,RB,-1,1,2
2011-12-01,SI,0,1,1
2011-12-01,HG,0,-1,1
2011-12-01,CL,-1,0,1
2011-12-01,SB,1,0,1
2012-03-01,ZS,-1,0,1
2012-03-01,ZC,0,-1,1
2012-05-01,ZS,0,1,1
2012-05-01,SI,1,0,1
2012-06-01,SI,0,1,1
2012-06-01,PA,1,0,1
2012-07-02,SI,1,0,1
2012-07-02,PA,0,1,1
2012-08-01,SI,0,-1,1
2012-08-01,ZC,-1,0,1
2012-08-01,PA,1,0,1
2012-08-01,SB,0,1,1
2012-09-04,SI,-1,1,2
2012-09-04,PA,0,1,1
2012-09-04,RB,1,0,1
2012-09-04,SB,1,-1,2
2012-10-01,ZS,1,0,1
2012-10-01,RB,0,1,1
2012-10-01,CL,0,-1,1
2012-10-01,CC,-1,0,1
2013-02-01,ZC,0,-1,1
2013-02-01,CL,-1,0,1
2013-04-01,ZS,0,1,1
2013-04-01,SI,1,0,1
2013-04-01,ZC,-1,0,1
2013-04-01,CC,0,-1,1
2013-05-01,ZS,1,0,1
2013-05-01,ZC,0,-1,1
2013-05-01,CC,-1,1,2
2013-06-03,GC,1,0,1
2013-06-03,CL,0,1,1
2013-07-01,ZS,0,1,1
2013-07-01,RB,1,0,1
2013-08-01,ZS,1,0,1
2013-08-01,RB,0,1,1
2013-09-03,GC,0,1,1
2013-09-03,CL,1,0,1
2013-10-01,ZS,0,1,1
2013-10-01,RB,1,0,1
2013-11-01,ZS,1,0,1
2013-11-01,GC,1,0,1
2013-11-01,SI,0,1,1
2013-11-01,RB,0,-1,1
2013-11-01,SB,-1,1,2
2013-12-02,ZS,0,1,1
2013-12-02,GC,0,-1,1
2013-12-02,SI,1,0,1
2013-12-02,RB,-1,1,2
2013-12-02,SB,1,0,1
2014-01-02,GC,-1,0,1
2014-01-02,SB,0,-1,1
2014-02-03,RB,1,0,1
2014-02-03,CL,0,1,1
2014-03-03,ZS,1,0,1
2014-03-03,GC,0,1,1
2014-03-03,RB,0,1,1
2014-03-03,CL,1,0,1
2014-05-01,GC,1,0,1
2014-05-01,SI,0,-1,1
2014-05-01,SB,-1,0,1
2014-05-01,CL,0,1,1
2014-07-01,ZS,0,-1,1
2014-07-01,GC,0,1,1
2014-07-01,SI,-1,0,1
2014-07-01,RB,1,0,1
2014-08-01,SI,0,1,1
2014-08-01,CL,1,0,1
2014-10-01,SI,1,0,1
2014-10-01,CL,0,1,1
2014-11-03,SB,0,-1,1
2014-11-03,ZC,-1,0,1
2014-12-01,GC,1,0,1
2014-12-01,RB,0,1,1
2015-01-02,GC,0,1,1
2015-01-02,SI,0,1,1
2015-01-02,RB,1,0,1
2015-01-02,CL,1,0,1
2015-02-02,ZC,0,-1,1
2015-02-02,SB,-1,0,1
2015-04-01,GC,1,0,1
2015-04-01,ZC,-1,0,1
2015-04-01,RB,0,1,1
2015-04-01,SB,0,-1,1
2015-05-01,GC,0,1,1
2015-05-01,ZC,0,-1,1
2015-05-01,SI,1,0,1
2015-05-01,SB,-1,0,1
2015-05-01,RB,1,0,1
2015-05-01,CL,0,1,1
2015-06-01,SI,0,1,1
2015-06-01,CL,1,0,1
2015-07-01,SI,1,0,1
2015-07-01,CL,0,1,1
2015-08-03,ZS,-1,0,1
2015-08-03,GC,1,-1,2
2015-08-03,ZC,-1,1,2
2015-08-03,SB,0,-1,1
2015-09-01,ZS,0,-1,1
2015-09-01,GC,-1,1,2
2015-09-01,SI,0,1,1
2015-09-01,ZC,1,0,1
2015-09-01,RB,0,1,1
2015-09-01,CL,1,0,1
2015-09-01,PA,1,0,1
2015-10-01,GC,1,0,1
2015-10-01,ZC,0,-1,1
2015-10-01,PA,0,1,1
2015-10-01,SB,-1,0,1
2015-11-02,GC,0,1,1
2015-11-02,RB,1,0,1
2015-11-02,CC,1,0,1
2015-11-02,SB,0,1,1
2015-12-01,GC,1,0,1
2015-12-01,SI,1,0,1
2015-12-01,RB,0,1,1
2015-12-01,CC,0,1,1
2016-02-01,SI,0,1,1
2016-02-01,PA,1,0,1
2016-03-01,GC,0,1,1
2016-03-01,SB,1,0,1
2016-04-01,PA,0,1,1
2016-04-01,RB,1,0,1
2016-04-01,CC,1,0,1
2016-04-01,SB,0,1,1
2016-06-01,ZS,-1,0,1
2016-06-01,PA,1,-1,2
2016-06-01,CL,0,1,1
2016-07-01,CL,1,0,1
2016-07-01,CC,0,1,1
2016-08-01,PA,-1,1,2
2016-08-01,RB,0,-1,1
2016-08-01,CC,1,0,1
2016-10-03,ZS,0,-1,1
2016-10-03,RB,-1,0,1
2016-12-01,HG,-1,0,1
2016-12-01,CC,0,-1,1
2017-04-03,SB,1,0,1
2017-04-03,CL,0,1,1
2017-06-01,NG,-1,0,1
2017-06-01,HG,0,-1,1
2017-07-03,HG,-1,0,1
2017-07-03,SB,0,-1,1
2017-08-01,NG,0,-1,1
2017-08-01,SI,1,0,1
2017-08-01,ZC,-1,0,1
2017-08-01,RB,0,1,1
2017-09-01,SI,0,1,1
2017-09-01,RB,1,0,1
2017-10-02,ZS,-1,0,1
2017-10-02,ZC,0,-1,1
2017-10-02,RB,0,1,1
2017-10-02,CL,1,0,1
2017-12-01,ZS,0,-1,1
2017-12-01,RB,1,0,1
2017-12-01,CL,0,1,1
2017-12-01,CC,-1,0,1
2018-01-02,SI,1,0,1
2018-01-02,RB,0,1,1
2018-02-01,KC,0,-1,1
2018-02-01,NG,-1,0,1
2018-02-01,CT,0,1,1
2018-02-01,RB,1,0,1
2018-03-01,NG,0,-1,1
2018-03-01,ZC,-1,0,1
2018-04-02,ZS,-1,0,1
2018-04-02,SI,0,-1,1
2018-05-01,ZS,0,-1,1
2018-05-01,SI,-1,0,1
2018-06-01,ZS,-1,0,1
2018-06-01,RB,0,1,1
2018-06-01,PL,1,-1,2
2018-07-02,ZS,0,-1,1
2018-07-02,GC,1,0,1
2018-07-02,SI,0,1,1
2018-07-02,SB,-1,0,1
2018-08-01,NG,-1,1,2
2018-08-01,ZC,0,-1,1
2018-08-01,SI,1,0,1
2018-08-01,ZW,-1,0,1
2018-08-01,SB,0,-1,1
2018-09-04,SI,0,-1,1
2018-09-04,ZC,-1,0,1
2018-10-01,GC,0,-1,1
2018-10-01,PL,-1,0,1
2018-11-01,GC,-1,0,1
2018-11-01,SI,-1,0,1
2018-11-01,SB,-1,0,1
2018-11-01,HG,0,-1,1
2018-11-01,ZW,0,-1,1
2018-11-01,CC,0,-1,1
2018-12-03,ZC,0,-1,1
2018-12-03,HG,-1,0,1
2018-12-03,PL,0,1,1
2018-12-03,CL,1,0,1
2019-01-02,GC,0,1,1
2019-01-02,SI,0,1,1
2019-01-02,ZC,-1,0,1
2019-01-02,HG,0,-1,1
2019-01-02,CT,1,0,1
2019-01-02,RB,1,0,1
2019-01-02,CC,-1,0,1
2019-01-02,SB,0,-1,1
2019-02-01,RB,0,1,1
2019-02-01,PL,1,0,1
2019-03-01,CT,0,-1,1
2019-03-01,SB,-1,0,1
2019-04-01,HG,-1,0,1
2019-04-01,CT,-1,0,1
2019-04-01,RB,1,0,1
2019-04-01,PL,0,1,1
2019-04-01,CC,0,-1,1
2019-04-01,SB,0,-1,1
